X,created_at,full_text,likes_count,mentioning_users.0,mentioning_users.1,mentioning_users.2,mentioning_users.3,mentioning_users.4,mentioning_users.5,mentioning_users.6,mentioning_users.7,mentioning_users.8,mentioning_users.9,mentioning_users.10,mentioning_users.11,mentioning_users.12,mentioning_users.13,mentioning_users.14,mentioning_users.15,played_count,quotes_count,replies_count,replying_to.0,replying_to.1,replying_to.2,replying_to.3,replying_to.4,replying_to.5,replying_to.6,replying_to.7,replying_to.8,replying_to.9,replying_to.10,replying_to.11,replying_to.12,replying_to.13,replying_to.14,replying_to.15,replying_to.16,replying_to.17,replying_to.18,replying_to.19,replying_to.20,replying_to.21,replying_to.22,replying_to.23,replying_to.24,replying_to.25,replying_to.26,replying_to.27,replying_to.28,replying_to.29,replying_to.30,replying_to.31,replying_to.32,replying_to.33,replying_to.34,replying_to.35,replying_to.36,replying_to.37,replying_to.38,replying_to.39,replying_to.40,replying_to.41,replying_to.42,replying_to.43,replying_to.44,replying_to.45,replying_to.46,replying_to.47,retweeted_by,retweets_count,tweet_hashtags.0,tweet_hashtags.1,tweet_hashtags.2,tweet_hashtags.3,tweet_hashtags.4,tweet_hashtags.5,tweet_hashtags.6,tweet_hashtags.7,tweet_hashtags.8,tweet_hashtags.9,tweet_hashtags.10,tweet_hashtags.11,tweet_hashtags.12,tweet_hashtags.13,tweet_hashtags.14,tweet_hashtags.15,tweet_hashtags.16,tweet_hashtags.17,tweet_hashtags.18,tweet_hashtags.19,tweet_hashtags.20,tweet_hashtags.21,tweet_hashtags.22,tweet_hashtags.23,tweet_id,tweet_links.0,tweet_links.1,tweet_links.2,tweet_links.3,url,user_is_verified,user_name,language,engagement
3,Sat May 20 19:20:00 +00:00 2023,"Learn about Gardasil HPV Vaccine Multidistrict Litigation (MDL) in interview w Gardasil injury atty & Wisner Baum senior partner Bijan Esfandiari. HPV vaccine injury cases can move forward for ppl who were hurt after the shot(s).""#Gardasil #HPV #Vaccine""piped.video/watch?v=OkWCf0xJÖ",3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,5,#Gardasil,#HPV,#Vaccine,,,,,,,,,,,,,,,,,,,,,,1660002453998190336,https://piped.video/watch?v=OkWCf0xJW0c,,,,https://twitter.com/WisnerBaum/status/1660002453998190593,false,35be2b85,en,9
8,Fri Jul 21 22:14:00 +00:00 2023,"#HPV #AdverseEvents #vaccinations #Gardasil #Merck""""childrenshealthdefense.eu/vaÖ",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#HPV,#AdverseEvents,#vaccinations,#Gardasil,#Merck,,,,,,,,,,,,,,,,,,,,1682514380733272064,https://childrenshealthdefense.eu/vaccine-safety/one-shot-destroyed-my-life-woman-injured-by-mercks-hpv-vaccine-speaks-out/,,,,https://twitter.com/ArnCerv/status/1682514380733272064,false,91b36e47,en,0
10,Sat Jul 29 23:39:00 +00:00 2023,"Where I live , gardasil is given to all children , boys and girls.  Protection against cancer causing HPV is a good thing. #gardasil",1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,d1d2c18e,4466250f,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#gardasil,,,,,,,,,,,,,,,,,,,,,,,,1685434989171875840,,,,,https://twitter.com/AnonymousSewer/status/1685434989171875840,false,44125079,en,1
16,Fri Jul 21 22:13:00 +00:00 2023,"#HPV #Gardasil #Merck #vaccini """"childrenshealthdefense.eu/itÖ",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#HPV,#Gardasil,#Merck,#vaccini,,,,,,,,,,,,,,,,,,,,,1682514169965207552,https://childrenshealthdefense.eu/it/sicurezza-dei-vaccini/uniniezione-ha-distrutto-la-mia-vita-la-donna-danneggiata-dal-vaccino-hpv-di-merck-parla-apertamente/,,,,https://twitter.com/ArnCerv/status/1682514169965207553,false,91b36e47,en,0
17,Tue Jun 27 16:43:00 +00:00 2023,"Owens, now in her 30s, is a political commentator and talk show host on The Daily Wire. She shared her ìabsolutely terrifyingî vaccine story in a recent video."" ""#gardasil  childrenshealthdefense.org/dÖ",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#gardasil,,,,,,,,,,,,,,,,,,,,,,,,1673733898969268224,https://childrenshealthdefense.org/defender/candace-owens-gardasil-vaccine-injury/,,,,https://twitter.com/rymdfred/status/1673733898969268249,false,18aa430e,en,0
18,Sat Jun 03 19:11:00 +00:00 2023,"What """"""""innovation"""""""" are you talking about @GSKUS ? How to kill and disable boys and girls with #Gardasil and still get away without compensating and punishment?",1,cc62cbf8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,1,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1665073853293314048,,,,,https://twitter.com/TruthSeekerAUM/status/1665073853293314048,false,cfb78c75,en,2
22,Fri Jul 21 15:31:00 +00:00 2023,Imagine being lied to about a vaccine! ?? #Gardasil #COVID19,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#Gardasil,#COVID19,,,,,,,,,,,,,,,,,,,,,,,1682412884263878656,,,,,https://twitter.com/terrylk73/status/1682412884263878657,false,910c5196,en,2
23,Thu Jul 27 19:32:00 +00:00 2023,"Data speaks for itself. Thank you @AaronSiriSG !""Part 13 / 17""#truth #news #health @ICANdecide #Vaccines #DiedSuddenly #CDC #FDA #Fauci #influenza #pfizer #PfizerKnew #moderna #HPV #Merck #Gardasil",19,e693a2e9,78f282da,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,11,#truth,#news,#health,#Vaccines,#DiedSuddenly,#CDC,#FDA,#Fauci,#influenza,#pfizer,#PfizerKnew,#moderna,#HPV,#Merck,#Gardasil,,,,,,,,,,1684647878323769344,,,,,https://twitter.com/DrJudyAMikovits/status/1684647878323769344,true,098ccb93,en,32
26,Sun Jun 25 00:07:00 +00:00 2023,"The HPV #Vaccine on Trial: Seeking Justice for a Generation Betrayed"" thevaccinereaction.org/2018/Ö #HPV #Gardasil#NeverForget ""#VaccineInjury",4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,ddc3c96c,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#Vaccine,#HPV,#Gardasil,#NeverForget,#VaccineInjury,,,,,,,,,,,,,,,,,,,,1672758412508033024,https://thevaccinereaction.org/2018/10/the-hpv-vaccine-on-trial-seeking-justice-for-a-generation-betrayed/#.XQ-KwBqK4L8.twitter,,,,https://twitter.com/tabbyday/status/1672758412508033027,false,a9f94678,en,4
28,Wed Jul 19 18:21:00 +00:00 2023,"Hazardous Ingredients of HPV Vaccines Increase Risk to Young People (Part 4)""#Merck #Gardasil""theepochtimes.com/health/hazÖ",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,0,#Merck,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,1681731116607127552,https://www.theepochtimes.com/health/hazardous-ingredients-of-hpv-vaccines-increase-risk-to-young-people-part-4_5053536.html?autoemail=talfonsetti3%40gmail.com&utm_source=deployer&utm_medium=email&utm_content=&utm_campaign=roundup&utm_term=,,,,https://twitter.com/thethirdted/status/1681731116607127573,false,ea07414a,en,0
