id,full_text,engagement,language
1,"Le dimanche c'est #D, comme #Destitution ???? -?"" #MacronDestitution #NiOubliNiPardon Ni prÈservatifs ni #Gardasil ni wokisme ni LGBTisme ???""RENDEZ LE POGNON !",21,fr
3,"Learn about Gardasil HPV Vaccine Multidistrict Litigation (MDL) in interview w Gardasil injury atty & Wisner Baum senior partner Bijan Esfandiari. HPV vaccine injury cases can move forward for ppl who were hurt after the shot(s).""#Gardasil #HPV #Vaccine""piped.video/watch?v=OkWCf0xJÖ",9,en
6,#Gardasil #HPV regardez les ÈlÈments du procËs contre Merx aux US,0,fr
7,Danger pour les ados ‡ la rentrÈe 2023! Le gouvernement pousse ‡ la vaccination contre le #papillomavirus (#Gardasil) vaccin dangereux et inefficace qui favorise de nouveaux virus pgibertie.com/2023/07/13/danÖ via @GibertiePatrice,2,fr
8,"#HPV #AdverseEvents #vaccinations #Gardasil #Merck""""childrenshealthdefense.eu/vaÖ",0,en
9,Papillomavirus : les mensonges de la propagande ?? #Gardasil face ‡ la rÈalitÈ scientifique resistancerepublicaine.com/2Ö,5,fr
10,"Where I live , gardasil is given to all children , boys and girls. Protection against cancer causing HPV is a good thing. #gardasil",1,en
12,"La prison ?""""Non ! Pour eux ce sera camps de travail, avec doses Covid #Gardasil HPb .... et finition au rivotril une fois inutiles !",0,fr
13,"ChËre @MGEN_officiel ""Quand allez vous cesser de consentir ? Regardez ceci et ne me rÈpondez plus ce genre díinepties francesoir.fr/societe-sante/Ö ""#VaccineGenocide #gardasil #papillomavirus #HPV",0,fr
14,«a aussi c'est monstrueux ! #gardasil,1,fr
16,"#HPV #Gardasil #Merck #vaccini """"childrenshealthdefense.eu/itÖ",0,en
17,"Owens, now in her 30s, is a political commentator and talk show host on The Daily Wire. She shared her ìabsolutely terrifyingî vaccine story in a recent video."" ""#gardasil childrenshealthdefense.org/dÖ",0,en
18,"What """"""""innovation"""""""" are you talking about @GSKUS ? How to kill and disable boys and girls with #Gardasil and still get away without compensating and punishment?",2,en
19,"Covid-19 provoque des Myocardites""11vaccins obligatoires pour les nourrissons Effets secondaires graves causÈs par les adjuvants#Gardasil provoque des dÈcËs et effets secondaires toujours injectÈs""Plainte pour crimes contre l'humanitÈ dÈposÈe ‡ la Cour PÈnale internationale",0,fr
21,Ils auront droit ‡ des doses de #Gardasil. On ne peut pas tout avoir #HumourNoir,2,fr
22,Imagine being lied to about a vaccine! ?? #Gardasil #COVID19,2,en
23,"Data speaks for itself. Thank you @AaronSiriSG !""Part 13 / 17""#truth #news #health @ICANdecide #Vaccines #DiedSuddenly #CDC #FDA #Fauci #influenza #pfizer #PfizerKnew #moderna #HPV #Merck #Gardasil",32,en
24,"??la science et le bon business.??""??Et tant pis pour les patients: splann.org/essure-rapport-faÖ gynger.fr/vaccination-les-clÖ#gardasil ""#mafia #corruption #merck",0,fr
26,"The HPV #Vaccine on Trial: Seeking Justice for a Generation Betrayed"" thevaccinereaction.org/2018/Ö #HPV #Gardasil#NeverForget ""#VaccineInjury",4,en
27,Quant ‡ l'autre machin en caoutchouc il protËge mÍme pas du HPV. #Gardasil contre le cancer du col de l'utÈrus et de la teub,0,fr
28,"Hazardous Ingredients of HPV Vaccines Increase Risk to Young People (Part 4)""#Merck #Gardasil""theepochtimes.com/health/hazÖ",0,en
32,"??#GARDASIL bÈnÈfices risques, qui croire lorsque les effets secondaires se multiplient. piped.video/AgvY-EdSHLg",70,fr
36,"May is Women's Healthcare Month. One step that women and people with uteruses can take to protect their health is to get the HPV vaccine and get regular PAP tests. "" ""#hpv #gardasil #hpvvaccineeducation #cancerprevention",0,en
38,"?? Ni injections #InformezVous ""#Gardasil #Cervarix ""#NeVousConformezPas",15,en
39,"Sur le #Gardasil""""#netouchezpasauxenfants",2,fr
40,"@FederationPEEP @FCPE_nationale Les injections ?? de masse ayant eu lieu dans les #collËges et #lycÈes, pourriez-vous demander au gvt ces statistiques ?? ? Comptez-vous laisser faire pour le #Gardasil ? #Enfants #Adolescents #Vaccinodromes #PEEP #FCPE",0,fr
