id,full_text,dominant_topic,engagement
3,"Learn about Gardasil HPV Vaccine Multidistrict Litigation (MDL) in interview w Gardasil injury atty & Wisner Baum senior partner Bijan Esfandiari. HPV vaccine injury cases can move forward for ppl who were hurt after the shot(s).""#Gardasil #HPV #Vaccine""piped.video/watch?v=OkWCf0xJÖ",3,9
8,"#HPV #AdverseEvents #vaccinations #Gardasil #Merck""""childrenshealthdefense.eu/vaÖ",4,0
10,"Where I live , gardasil is given to all children , boys and girls. Protection against cancer causing HPV is a good thing. #gardasil",4,1
16,"#HPV #Gardasil #Merck #vaccini """"childrenshealthdefense.eu/itÖ",4,0
17,"Owens, now in her 30s, is a political commentator and talk show host on The Daily Wire. She shared her ìabsolutely terrifyingî vaccine story in a recent video."" ""#gardasil childrenshealthdefense.org/dÖ",4,0
18,"What """"""""innovation"""""""" are you talking about @GSKUS ? How to kill and disable boys and girls with #Gardasil and still get away without compensating and punishment?",2,2
22,Imagine being lied to about a vaccine! ?? #Gardasil #COVID19,0,2
23,"Data speaks for itself. Thank you @AaronSiriSG !""Part 13 / 17""#truth #news #health @ICANdecide #Vaccines #DiedSuddenly #CDC #FDA #Fauci #influenza #pfizer #PfizerKnew #moderna #HPV #Merck #Gardasil",0,32
26,"The HPV #Vaccine on Trial: Seeking Justice for a Generation Betrayed"" thevaccinereaction.org/2018/Ö #HPV #Gardasil#NeverForget ""#VaccineInjury",0,4
28,"Hazardous Ingredients of HPV Vaccines Increase Risk to Young People (Part 4)""#Merck #Gardasil""theepochtimes.com/health/hazÖ",3,0
36,"May is Women's Healthcare Month. One step that women and people with uteruses can take to protect their health is to get the HPV vaccine and get regular PAP tests. "" ""#hpv #gardasil #hpvvaccineeducation #cancerprevention",2,0
38,"?? Ni injections #InformezVous ""#Gardasil #Cervarix ""#NeVousConformezPas",3,15
46,"After experiencing #heartproblems, #ovariancysts etc. after #Gardasil #HPV #vaccine, Shelby Thomson created @unjected, the worldís first #unvaccinateddating site. She joins #FaithfulFreedom with Teryn Gregson by @WTPatriotsUSA to discuss."" Full Ep:""rumble.com/v34e65t-unvaccinaÖ",0,9
53,#Merck&Co World-Wide Sales for #GARDASIL was 1972m USD in Q1 2023 (Up 34%) 1stoncology.com/blog/10-q-quÖ,4,0
69,"Merck beats first-quarter expectations on Keytruda, Gardasil strength #Merck #Mercknews #cancer #financialresults #keytruda #Gardasil #HPVvaccine #molnupiravir #Lagevrio #q1results medicaldialogues.in/news/indÖ",4,0
75,That's Zuckerberg & his wife Priscilla Chan a pediatrician in the back of the needle car. #VaxxedII is about the harm the #gardasil vaccine has caused children. This political cartoon was way before covid. He's known where his bread is buttered long ago.,4,6
78,"Prevent HPV with Gardasil. Three separate doses needed for ages 12+ and available at #TheShotNurse."" ""#PreventHPV #Gardasil #Vaccinate",0,1
81,#Gardasil vk.com/wall684461573_2307,0,0
