X,created_at,full_text,likes_count,mentioning_users.0,mentioning_users.1,mentioning_users.2,mentioning_users.3,mentioning_users.4,mentioning_users.5,mentioning_users.6,mentioning_users.7,mentioning_users.8,mentioning_users.9,mentioning_users.10,mentioning_users.11,mentioning_users.12,mentioning_users.13,mentioning_users.14,mentioning_users.15,played_count,quotes_count,replies_count,replying_to.0,replying_to.1,replying_to.2,replying_to.3,replying_to.4,replying_to.5,replying_to.6,replying_to.7,replying_to.8,replying_to.9,replying_to.10,replying_to.11,replying_to.12,replying_to.13,replying_to.14,replying_to.15,replying_to.16,replying_to.17,replying_to.18,replying_to.19,replying_to.20,replying_to.21,replying_to.22,replying_to.23,replying_to.24,replying_to.25,replying_to.26,replying_to.27,replying_to.28,replying_to.29,replying_to.30,replying_to.31,replying_to.32,replying_to.33,replying_to.34,replying_to.35,replying_to.36,replying_to.37,replying_to.38,replying_to.39,replying_to.40,replying_to.41,replying_to.42,replying_to.43,replying_to.44,replying_to.45,replying_to.46,replying_to.47,retweeted_by,retweets_count,tweet_hashtags.0,tweet_hashtags.1,tweet_hashtags.2,tweet_hashtags.3,tweet_hashtags.4,tweet_hashtags.5,tweet_hashtags.6,tweet_hashtags.7,tweet_hashtags.8,tweet_hashtags.9,tweet_hashtags.10,tweet_hashtags.11,tweet_hashtags.12,tweet_hashtags.13,tweet_hashtags.14,tweet_hashtags.15,tweet_hashtags.16,tweet_hashtags.17,tweet_hashtags.18,tweet_hashtags.19,tweet_hashtags.20,tweet_hashtags.21,tweet_hashtags.22,tweet_hashtags.23,tweet_id,tweet_links.0,tweet_links.1,tweet_links.2,tweet_links.3,url,user_is_verified,user_name,language,engagement,sentiment_scores,positive,neutral,negative,compound,sentiment_label
2,Thu Aug 10 18:12:00 +00:00 2023,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#propagande!!,#Vaccination,#gardasil,,,,,,,,,,,,,,,,,,,,,,1.6897013465202483e+18,,,,,https://twitter.com/Maren31_Uhl/status/1689701346520248320,False,5c3a8cbb,it,0,"{'positive': 0, 'neutral': 0.5, 'negative': 0.5, 'compound': -0.5, 'sentiment_label': 'Negative'}",0.0,0.5,0.5,-0.5,Negative
11,Tue May 30 22:13:00 +00:00 2023,done,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#gardasil,#hpva??,,,,,,,,,,,,,,,,,,,,,,,1.663669903474262e+18,,,,,https://twitter.com/Dark_Ch0c_late/status/1663669903474262017,False,e396abdc,it,1,"{'positive': 0.5, 'neutral': 0.5, 'negative': 0, 'compound': 0.5, 'sentiment_label': 'Positive'}",0.5,0.5,0.0,0.5,Positive
20,Fri May 26 17:56:00 +00:00 2023,poizon,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,,1.6621557930077716e+18,,,,,https://twitter.com/Hell3June/status/1662155793007771654,False,f0dad914,it,1,"{'positive': 0, 'neutral': 1, 'negative': 0, 'compound': 0.0, 'sentiment_label': 'Neutral'}",0.0,1.0,0.0,0.0,Neutral
30,Mon Jun 19 16:34:00 +00:00 2023,poizon,2,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,,1.6708323567336653e+18,,,,,https://twitter.com/Hell3June/status/1670832356733665280,False,f0dad914,it,2,"{'positive': 0, 'neutral': 1, 'negative': 0, 'compound': 0.0, 'sentiment_label': 'Neutral'}",0.0,1.0,0.0,0.0,Neutral
44,Tue Jul 25 16:46:00 +00:00 2023,,1,a7587ab3,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#HPV,,,,,,,,,,,,,,,,,,,,,,,1.683881311033864e+18,,,,,https://twitter.com/JaneOfArc6/status/1683881311033864210,False,7086e2aa,it,1,"{'positive': 0, 'neutral': 0.5, 'negative': 0.5, 'compound': -0.5, 'sentiment_label': 'Negative'}",0.0,0.5,0.5,-0.5,Negative
58,Fri Jul 07 18:03:00 +00:00 2023,,6,a7587ab3,,,,,,,,,,,,,,,,0,0,0,6229fd75,e693a2e9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.6773779175239844e+18,,,,,https://twitter.com/JaneOfArc6/status/1677377917523984384,False,7086e2aa,it,11,"{'positive': 0, 'neutral': 0.5, 'negative': 0.5, 'compound': -0.5, 'sentiment_label': 'Negative'}",0.0,0.5,0.5,-0.5,Negative
65,Wed Jul 05 08:50:00 +00:00 2023,poizon,3,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,,1.6765139927962583e+18,,,,,https://twitter.com/Hell3June/status/1676513992796258305,False,f0dad914,it,3,"{'positive': 0, 'neutral': 1, 'negative': 0, 'compound': 0.0, 'sentiment_label': 'Neutral'}",0.0,1.0,0.0,0.0,Neutral
68,Tue May 02 17:58:00 +00:00 2023,pipedvideokajqrxw via,12,f6961215,,,,,,,,,,,,,,,,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,#Garadasil9,#?????_???_?????,#...,#gardasil,#HPV_vaccine,,,,,,,,,,,,,,,,,,,,1.6534588934674268e+18,https://piped.video/188kaJQR2Xw,,,,https://twitter.com/AlZirqi/status/1653458893467426816,True,7a7949d8,it,15,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0, 'compound': 1.0, 'sentiment_label': 'Positive'}",1.0,0.0,0.0,1.0,Positive
72,Tue Jul 11 20:10:00 +00:00 2023,,7,a7587ab3,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.6788593958311483e+18,,,,,https://twitter.com/JaneOfArc6/status/1678859395831148549,False,7086e2aa,it,13,"{'positive': 0, 'neutral': 0.5, 'negative': 0.5, 'compound': -0.5, 'sentiment_label': 'Negative'}",0.0,0.5,0.5,-0.5,Negative
199,Fri Apr 14 05:49:00 +00:00 2023,poipoi sonson,2,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,,1.6467525389248102e+18,,,,,https://twitter.com/Hell3June/status/1646752538924810240,False,f0dad914,it,2,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0, 'compound': 1.0, 'sentiment_label': 'Positive'}",1.0,0.0,0.0,1.0,Positive
