X,created_at,full_text,likes_count,mentioning_users.0,mentioning_users.1,mentioning_users.2,mentioning_users.3,mentioning_users.4,mentioning_users.5,mentioning_users.6,mentioning_users.7,mentioning_users.8,mentioning_users.9,mentioning_users.10,mentioning_users.11,mentioning_users.12,mentioning_users.13,mentioning_users.14,mentioning_users.15,played_count,quotes_count,replies_count,replying_to.0,replying_to.1,replying_to.2,replying_to.3,replying_to.4,replying_to.5,replying_to.6,replying_to.7,replying_to.8,replying_to.9,replying_to.10,replying_to.11,replying_to.12,replying_to.13,replying_to.14,replying_to.15,replying_to.16,replying_to.17,replying_to.18,replying_to.19,replying_to.20,replying_to.21,replying_to.22,replying_to.23,replying_to.24,replying_to.25,replying_to.26,replying_to.27,replying_to.28,replying_to.29,replying_to.30,replying_to.31,replying_to.32,replying_to.33,replying_to.34,replying_to.35,replying_to.36,replying_to.37,replying_to.38,replying_to.39,replying_to.40,replying_to.41,replying_to.42,replying_to.43,replying_to.44,replying_to.45,replying_to.46,replying_to.47,retweeted_by,retweets_count,tweet_hashtags.0,tweet_hashtags.1,tweet_hashtags.2,tweet_hashtags.3,tweet_hashtags.4,tweet_hashtags.5,tweet_hashtags.6,tweet_hashtags.7,tweet_hashtags.8,tweet_hashtags.9,tweet_hashtags.10,tweet_hashtags.11,tweet_hashtags.12,tweet_hashtags.13,tweet_hashtags.14,tweet_hashtags.15,tweet_hashtags.16,tweet_hashtags.17,tweet_hashtags.18,tweet_hashtags.19,tweet_hashtags.20,tweet_hashtags.21,tweet_hashtags.22,tweet_hashtags.23,tweet_id,tweet_links.0,tweet_links.1,tweet_links.2,tweet_links.3,url,user_is_verified,user_name,language,engagement
1,Sun Aug 20 15:11:00 +00:00 2023,dimanche cest comme ni prèservatifs ni ni wokisme ni lgbtisme rendez pognon,13,,,,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,"#D,",#Destitution,#MacronDestitution,#NiOubliNiPardon,#Gardasil,,,,,,,,,,,,,,,,,,,,1.6932796177073403e+18,,,,,https://twitter.com/AHcCamille/status/1693279617707339931,False,31be7426,fr,21
6,Sun Aug 20 13:27:00 +00:00 2023,regardez èlèments procës contre merx u,0,,,,,,,,,,,,,,,,,0,0,0,38d05682,b220aabb,2da9a5d0,ccbcc361,ce696b9a,fd8fdf98,e7a8f44d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#HPV,,,,,,,,,,,,,,,,,,,,,,,1.693253363859645e+18,,,,,https://twitter.com/AcGriffon/status/1693253363859644790,False,ed75e107,fr,0
7,Sat Aug 12 14:25:00 +00:00 2023,danger ado rentrèe gouvernement pousse vaccination contre vaccin dangereux inefficace favorise nouveaux virus pgibertiecomdan via,1,eee6aec2,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,#papillomavirus,,,,,,,,,,,,,,,,,,,,,,,,1.6903689472231708e+18,https://pgibertie.com/2023/07/13/danger-pour-les-ados-a-la-rentree-2023-le-gouvernement-pousse-a-la-vaccination-contre-le-papillomavirus-gardasil-vaccin-dangereux-et-inefficace-qui-favorise-de-nouveaux-virus/,,,,https://twitter.com/Peck84200/status/1690368947223171072,False,43a73a49,fr,2
9,Tue May 16 20:46:00 +00:00 2023,papillomavirus mensonges propagande face rèalitè scientifique resistancerepublicainecom,2,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.65857473308706e+18,https://resistancerepublicaine.com/2023/05/16/papillomavirus-les-mensonges-de-la-propagande-gardasil-face-a-la-realite-scientifique/,,,,https://twitter.com/Pilotte_daniel/status/1658574733087059970,True,906dbf29,fr,5
12,Tue Jun 13 21:45:00 +00:00 2023,prison non camp travail dos covid hpb finition rivotril fois inutiles,0,,,,,,,,,,,,,,,,,0,0,0,74a415fe,6e6d4a50,acf26d34,acfe9c7d,380239dd,303a46bd,0bca388b,63801ebe,f640a68f,20dd9d86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.6687363648697628e+18,,,,,https://twitter.com/JaneOfArc6/status/1668736364869763072,False,7086e2aa,fr,0
13,Thu Jun 29 10:48:00 +00:00 2023,chëre quand allez cesser consentir regardez ceci rèpondez plus genre dinepties francesoirfrsocietesante,0,92b935b2,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#VaccineGenocide,#gardasil,#papillomavirus,#HPV,,,,,,,,,,,,,,,,,,,,,1.674369311320752e+18,https://www.francesoir.fr/societe-sante/gardasil-l-etonnante-precipitation-d-emmanuel-macron-pour-vacciner-les-enfants,,,,https://twitter.com/imclaire51/status/1674369311320752128,False,16cac2ea,fr,0
14,Mon Aug 14 20:23:00 +00:00 2023,a aussi cest monstrueux,1,,,,,,,,,,,,,,,,,0,0,0,9e95e1ef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.6911837051238728e+18,,,,,https://twitter.com/HelCach/status/1691183705123872768,False,c15ad095,fr,1
19,Sun Apr 30 13:12:00 +00:00 2023,covid provoque myocarditesvaccins obligatoires nourrissons effets secondaires graf causès adjuvant provoque dècës effets secondaires toujours injectèsplainte crime contre lhumanitè dèposèe cour pènale internationale,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.6526622666663854e+18,,,,,https://twitter.com/72andree72/status/1652662266666385410,False,87d7af5f,fr,0
21,Wed Aug 30 23:02:00 +00:00 2023,droit dos peut tout avoir,1,,,,,,,,,,,,,,,,,0,0,1,ceedfecc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil.,#HumourNoir,,,,,,,,,,,,,,,,,,,,,,,1.6970219362728228e+18,,,,,https://twitter.com/CerebroOnAir/status/1697021936272822716,False,af9119e0,fr,2
24,Mon Aug 14 09:56:00 +00:00 2023,science bon businesset tant pi patient splannorgessurerapportfa gyngerfrvaccinationlescl,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#gardasil,#mafia,#corruption,#merck,,,,,,,,,,,,,,,,,,,,,1.6910260346682819e+18,https://splann.org/essure-rapport-fantome-ansm/,https://www.gynger.fr/vaccination-les-cles-de-la-defiance/,,,https://twitter.com/ziap1/status/1691026034668281856,False,68b45724,fr,0
27,Tue Aug 22 23:19:00 +00:00 2023,quant lautre machin caoutchouc protëge mme hpv contre cancer col lutèrus teub,0,,,,,,,,,,,,,,,,,0,0,0,94321b51,48ec7f97,8e27958c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.6941271406759608e+18,,,,,https://twitter.com/ChochottedePE/status/1694127140675961045,False,94321b51,fr,0
