X,created_at,full_text,likes_count,mentioning_users.0,mentioning_users.1,mentioning_users.2,mentioning_users.3,mentioning_users.4,mentioning_users.5,mentioning_users.6,mentioning_users.7,mentioning_users.8,mentioning_users.9,mentioning_users.10,mentioning_users.11,mentioning_users.12,mentioning_users.13,mentioning_users.14,mentioning_users.15,played_count,quotes_count,replies_count,replying_to.0,replying_to.1,replying_to.2,replying_to.3,replying_to.4,replying_to.5,replying_to.6,replying_to.7,replying_to.8,replying_to.9,replying_to.10,replying_to.11,replying_to.12,replying_to.13,replying_to.14,replying_to.15,replying_to.16,replying_to.17,replying_to.18,replying_to.19,replying_to.20,replying_to.21,replying_to.22,replying_to.23,replying_to.24,replying_to.25,replying_to.26,replying_to.27,replying_to.28,replying_to.29,replying_to.30,replying_to.31,replying_to.32,replying_to.33,replying_to.34,replying_to.35,replying_to.36,replying_to.37,replying_to.38,replying_to.39,replying_to.40,replying_to.41,replying_to.42,replying_to.43,replying_to.44,replying_to.45,replying_to.46,replying_to.47,retweeted_by,retweets_count,tweet_hashtags.0,tweet_hashtags.1,tweet_hashtags.2,tweet_hashtags.3,tweet_hashtags.4,tweet_hashtags.5,tweet_hashtags.6,tweet_hashtags.7,tweet_hashtags.8,tweet_hashtags.9,tweet_hashtags.10,tweet_hashtags.11,tweet_hashtags.12,tweet_hashtags.13,tweet_hashtags.14,tweet_hashtags.15,tweet_hashtags.16,tweet_hashtags.17,tweet_hashtags.18,tweet_hashtags.19,tweet_hashtags.20,tweet_hashtags.21,tweet_hashtags.22,tweet_hashtags.23,tweet_id,tweet_links.0,tweet_links.1,tweet_links.2,tweet_links.3,url,user_is_verified,user_name,language,engagement
2,Thu Aug 10 18:12:00 +00:00 2023,propagande vaccination gardasil,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#propagande!!,#Vaccination,#gardasil,,,,,,,,,,,,,,,,,,,,,,1689701346520248320,,,,,https://twitter.com/Maren31_Uhl/status/1689701346520248320,False,5c3a8cbb,it,0
11,Tue May 30 22:13:00 +00:00 2023,done gardasilhpva,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#gardasil,#hpva??,,,,,,,,,,,,,,,,,,,,,,,1663669903474262016,,,,,https://twitter.com/Dark_Ch0c_late/status/1663669903474262017,False,e396abdc,it,1
20,Fri May 26 17:56:00 +00:00 2023,gardasil gardasil poizon,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,,1662155793007771648,,,,,https://twitter.com/Hell3June/status/1662155793007771654,False,f0dad914,it,1
30,Mon Jun 19 16:34:00 +00:00 2023,gardasil gardasil poizon,2,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,,1670832356733665280,,,,,https://twitter.com/Hell3June/status/1670832356733665280,False,f0dad914,it,2
44,Tue Jul 25 16:46:00 +00:00 2023,gardasil hpv,1,a7587ab3,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#HPV,,,,,,,,,,,,,,,,,,,,,,,1683881311033864192,,,,,https://twitter.com/JaneOfArc6/status/1683881311033864210,False,7086e2aa,it,1
58,Fri Jul 07 18:03:00 +00:00 2023,gardasil,6,a7587ab3,,,,,,,,,,,,,,,,0,0,0,6229fd75,e693a2e9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1677377917523984384,,,,,https://twitter.com/JaneOfArc6/status/1677377917523984384,False,7086e2aa,it,11
65,Wed Jul 05 08:50:00 +00:00 2023,gardasil gardasil poizon,3,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,,1676513992796258560,,,,,https://twitter.com/Hell3June/status/1676513992796258305,False,f0dad914,it,3
68,Tue May 02 17:58:00 +00:00 2023,garadasil pipedvideokajqrxw via gardasil hpvvaccine,12,f6961215,,,,,,,,,,,,,,,,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,#Garadasil9,#?????_???_?????,#...,#gardasil,#HPV_vaccine,,,,,,,,,,,,,,,,,,,,1653458893467426816,https://piped.video/188kaJQR2Xw,,,,https://twitter.com/AlZirqi/status/1653458893467426816,True,7a7949d8,it,15
72,Tue Jul 11 20:10:00 +00:00 2023,gardasil,7,a7587ab3,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1678859395831148544,,,,,https://twitter.com/JaneOfArc6/status/1678859395831148549,False,7086e2aa,it,13
199,Fri Apr 14 05:49:00 +00:00 2023,gardasil gardasil poipoi sonson,2,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,,1646752538924810240,,,,,https://twitter.com/Hell3June/status/1646752538924810240,False,f0dad914,it,2
201,Tue Jul 11 10:58:00 +00:00 2023,hpv gardasil vaccination,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#HPV,#Gardasil,#vaccination,,,,,,,,,,,,,,,,,,,,,,1678720493237551360,,,,,https://twitter.com/imclaire51/status/1678720493237551106,False,16cac2ea,it,0
204,Tue Jul 11 07:31:00 +00:00 2023,gardasil gardasil poizon,3,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,,1678668298760646656,,,,,https://twitter.com/Hell3June/status/1678668298760646656,False,f0dad914,it,4
211,Mon Mar 27 15:54:00 +00:00 2023,disastroso bilancio risultati vaccino gardasil tasso mortalit studi clinici gardasil ovvero volta cancro cervicalema fda spinge lutilizzo childrenshealthdefenseorgn,83,,,,,,,,,,,,,,,,,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,#Gardasil.,,,,,,,,,,,,,,,,,,,,,,,,1640381694799753216,https://childrenshealthdefense.org/news/25-raisons-deviter-le-vaccin-gardasil/?lang=fr,,,,https://twitter.com/BarbaraRaval/status/1640381694799753218,False,843cb078,it,150
219,Sat Jul 01 06:28:00 +00:00 2023,gardasil gardasil poizon,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,,1675028599781425152,,,,,https://twitter.com/Hell3June/status/1675028599781425153,False,f0dad914,it,0
223,Sun Apr 16 22:18:00 +00:00 2023,france transparence vaccin gardasil,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#France,#vaccin,#gardasil,,,,,,,,,,,,,,,,,,,,,,1647726104268922880,,,,,https://twitter.com/dommajeur/status/1647726104268922880,False,537f5f40,it,0
238,Sun Apr 16 14:11:00 +00:00 2023,gardasil gardasil poipoi son,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,,1647603543493206016,,,,,https://twitter.com/Hell3June/status/1647603543493206016,False,f0dad914,it,0
240,Sat Mar 25 17:43:00 +00:00 2023,gardasil gardasil gardasil poison,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,1639684545510244352,,,,,https://twitter.com/Hell3June/status/1639684545510244353,False,f0dad914,it,0
241,Sun Apr 16 13:39:00 +00:00 2023,vaersvaccineinjuryvaccinedeath covidvaccination covidvaccine flu gardasil,0,,,,,,,,,,,,,,,,,0,0,0,939f14c7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#VAERS,#vaccineinjury,#VaccineDeath,#Covidvaccination,#CovidVaccine,#flu,#gardasil,,,,,,,,,,,,,,,,,,1647595673296961536,,,,,https://twitter.com/GardasilNews/status/1647595673296961538,False,6f4cf129,it,0
249,Sat Mar 25 06:35:00 +00:00 2023,gardasil gardasil gardasil poison,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#gardasil,#Gardasil,#GARDASIL.,,,,,,,,,,,,,,,,,,,,,,1639516225125359616,,,,,https://twitter.com/Hell3June/status/1639516225125359616,False,f0dad914,it,0
278,Wed Mar 15 07:46:00 +00:00 2023,gardasil gardasil gardasil poison,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,1635910269921533952,,,,,https://twitter.com/Hell3June/status/1635910269921533952,False,f0dad914,it,1
280,Fri Feb 17 23:30:00 +00:00 2023,livechildrenshealthdefense gardasilvaccine vaccine gardasil chd merck litigation,2,,,,,,,,,,,,,,,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,#GardasilVaccine,#Vaccine,#Gardasil,#CHD,#Merck,#litigation,,,,,,,,,,,,,,,,,,,1626725839722127360,https://live.childrenshealthdefense.org/chd-tv/shows/good-morning-chd/gardasil-vaccine-on-trial-with-mary-holland-jd/,,,,https://twitter.com/Wacaser/status/1626725839722127360,False,2d9e1a09,it,4
319,Mon Mar 13 10:16:00 +00:00 2023,gardasil gardasil poison gardasil,2,,,,,,,,,,,,,,,,,0,0,0,e5e7f4cb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#gardasil,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,1635223287390412800,,,,,https://twitter.com/Hell3June/status/1635223287390412800,False,f0dad914,it,2
320,Fri Mar 17 07:40:00 +00:00 2023,gardasil gardasil gardasil poison,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,1636633584910958336,,,,,https://twitter.com/Hell3June/status/1636633584910958595,False,f0dad914,it,1
341,Sat Mar 11 22:44:00 +00:00 2023,gardasilmerci dr,1,930d0858,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1634686780757913600,,,,,https://twitter.com/JaneOfArc6/status/1634686780757913601,False,7086e2aa,it,1
351,Tue Dec 13 16:16:00 +00:00 2022,gardasil hpvvaccine,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#HPVvaccine,,,,,,,,,,,,,,,,,,,,,,,1602698900279906560,,,,,https://twitter.com/LotusGirlL/status/1602698900279906304,False,6519a4cb,it,0
382,Fri Dec 23 21:44:00 +00:00 2022,danni vaccinogu importante ordinanza corte appello rom presdott alessandro nunziata relatore alessandra trementozzi volta italia riconosciuto diabete giovanile collegato vaccino antipapillomavirus gardasileventiavversinewsitpronunc,7,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1606405298008334336,https://www.eventiavversinews.it/pronuncia-storica-riconosciuto-per-la-prima-volta-in-italia-dalla-corte-di-appello-di-roma-caso-di-diabete-giovanile-da-v-la-corte-costituzionale-si-esprimera-sullindennizzo-ordinanza-appena-pubb/,,,,https://twitter.com/BarbaraRaval/status/1606405298008334348,False,843cb078,it,13
384,Thu Mar 09 18:05:00 +00:00 2023,gardasil poison,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1633891808848560128,,,,,https://twitter.com/Hell3June/status/1633891808848560133,False,f0dad914,it,1
387,Sat Jan 28 10:16:00 +00:00 2023,gardasil hpv vaccine and cervical cancer,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#HPV,#cancer,,,,,,,,,,,,,,,,,,,,,,1619278303164248064,,,,,https://twitter.com/HateTheMachine/status/1619278303164248064,False,2db57c94,it,0
388,Mon Feb 27 22:52:00 +00:00 2023,vaccin antihpv une dose suffit larevuedupraticienfrarticl via gardasil vaccination,1,6c67872d,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#vaccination,,,,,,,,,,,,,,,,,,,,,,,1630340213879742464,https://www.larevuedupraticien.fr/article/vaccin-anti-hpv-une-dose-suffit,,,,https://twitter.com/Maren31_Uhl/status/1630340213879742464,False,5c3a8cbb,it,1
