X;created_at;full_text;likes_count;mentioning_users.0;mentioning_users.1;mentioning_users.2;mentioning_users.3;mentioning_users.4;mentioning_users.5;mentioning_users.6;mentioning_users.7;mentioning_users.8;mentioning_users.9;mentioning_users.10;mentioning_users.11;mentioning_users.12;mentioning_users.13;mentioning_users.14;mentioning_users.15;played_count;quotes_count;replies_count;replying_to.0;replying_to.1;replying_to.2;replying_to.3;replying_to.4;replying_to.5;replying_to.6;replying_to.7;replying_to.8;replying_to.9;replying_to.10;replying_to.11;replying_to.12;replying_to.13;replying_to.14;replying_to.15;replying_to.16;replying_to.17;replying_to.18;replying_to.19;replying_to.20;replying_to.21;replying_to.22;replying_to.23;replying_to.24;replying_to.25;replying_to.26;replying_to.27;replying_to.28;replying_to.29;replying_to.30;replying_to.31;replying_to.32;replying_to.33;replying_to.34;replying_to.35;replying_to.36;replying_to.37;replying_to.38;replying_to.39;replying_to.40;replying_to.41;replying_to.42;replying_to.43;replying_to.44;replying_to.45;replying_to.46;replying_to.47;retweeted_by;retweets_count;tweet_hashtags.0;tweet_hashtags.1;tweet_hashtags.2;tweet_hashtags.3;tweet_hashtags.4;tweet_hashtags.5;tweet_hashtags.6;tweet_hashtags.7;tweet_hashtags.8;tweet_hashtags.9;tweet_hashtags.10;tweet_hashtags.11;tweet_hashtags.12;tweet_hashtags.13;tweet_hashtags.14;tweet_hashtags.15;tweet_hashtags.16;tweet_hashtags.17;tweet_hashtags.18;tweet_hashtags.19;tweet_hashtags.20;tweet_hashtags.21;tweet_hashtags.22;tweet_hashtags.23;tweet_id;tweet_links.0;tweet_links.1;tweet_links.2;tweet_links.3;;user_is_verified;user_name;language;engagement;sentiment_scores;positive;neutral;negative;compound;sentiment_label
3;Sat May 20 19:20:00 +00:00 2023;learn gardasil hpv vaccine multidistrict litigation mdl interview w gardasil injury atty wisner baum senior partner bijan esfandiari hpv vaccine injury case move forward ppl hurt shotsgardasil hpv vaccinepipedvideowatchvokwcfxj;3;;;;;;;;;;;;;;;;;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;#Gardasil;#HPV;#Vaccine;;;;;;;;;;;;;;;;;;;;;;1.6600024539981903e+18;https://piped.video/watch?v=OkWCf0xJW0c;;;;;FALSE;35be2b85;en;9;{'neg': 0.31, 'neu': 0.69, 'pos': 0.0, 'compound': -0.8689};0.0;0.69;0.31;-0.8689;Negative
8;Fri Jul 21 22:14:00 +00:00 2023;hpv adverseevents vaccination gardasil merckchildrenshealthdefenseeuva;0;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#HPV;#AdverseEvents;#vaccinations;#Gardasil;#Merck;;;;;;;;;;;;;;;;;;;;1.682514380733272e+18;https://childrenshealthdefense.eu/vaccine-safety/one-shot-destroyed-my-life-woman-injured-by-mercks-hpv-vaccine-speaks-out/;;;;;FALSE;91b36e47;en;0;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
10;Sat Jul 29 23:39:00 +00:00 2023;live gardasil given child boy girl protection cancer causing hpv good thing gardasil;1;;;;;;;;;;;;;;;;;0;0;0;d1d2c18e;4466250f;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#gardasil;;;;;;;;;;;;;;;;;;;;;;;;1.6854349891718758e+18;;;;;;FALSE;44125079;en;1;{'neg': 0.24, 'neu': 0.601, 'pos': 0.158, 'compound': -0.3612};158;601;0.24;-0.3612;Negative
16;Fri Jul 21 22:13:00 +00:00 2023;hpv gardasil merck vaccini childrenshealthdefenseeuit;0;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#HPV;#Gardasil;#Merck;#vaccini;;;;;;;;;;;;;;;;;;;;;1.6825141699652076e+18;https://childrenshealthdefense.eu/it/sicurezza-dei-vaccini/uniniezione-ha-distrutto-la-mia-vita-la-donna-danneggiata-dal-vaccino-hpv-di-merck-parla-apertamente/;;;;;FALSE;91b36e47;en;0;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
17;Tue Jun 27 16:43:00 +00:00 2023;owen political commentator talk show host daily wire shared absolutely terrifying vaccine story recent video gardasil childrenshealthdefenseorgd;0;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#gardasil;;;;;;;;;;;;;;;;;;;;;;;;1.6737338989692682e+18;https://childrenshealthdefense.org/defender/candace-owens-gardasil-vaccine-injury/;;;;;FALSE;18aa430e;en;0;{'neg': 0.187, 'neu': 0.701, 'pos': 0.112, 'compound': -0.3804};112;701;187;-0.3804;Negative
18;Sat Jun 03 19:11:00 +00:00 2023;innovation talking kill disable boy girl gardasil still get away without compensating punishment;1;cc62cbf8;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;#Gardasil;;;;;;;;;;;;;;;;;;;;;;;;1.665073853293314e+18;;;;;;FALSE;cfb78c75;en;2;{'neg': 0.236, 'neu': 0.502, 'pos': 0.262, 'compound': -0.121};262;502;236;-121;Negative
22;Fri Jul 21 15:31:00 +00:00 2023;imagine lied vaccine gardasil covid;2;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Gardasil;#COVID19;;;;;;;;;;;;;;;;;;;;;;;1.682412884263879e+18;;;;;;FALSE;910c5196;en;2;{'neg': 0.394, 'neu': 0.606, 'pos': 0.0, 'compound': -0.3818};0.0;606;394;-0.3818;Negative
23;Thu Jul 27 19:32:00 +00:00 2023;data speaks thank part truth news health vaccine diedsuddenly cdc fda fauci influenza pfizer pfizerknew moderna hpv merck gardasil;19;e693a2e9;78f282da;;;;;;;;;;;;;;;0;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;#truth;#news;#health;#Vaccines;#DiedSuddenly;#CDC;#FDA;#Fauci;#influenza;#pfizer;#PfizerKnew;#moderna;#HPV;#Merck;#Gardasil;;;;;;;;;;1.684647878323769e+18;;;;;;TRUE;098ccb93;en;32;{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.5859};0.22;0.78;0.0;0.5859;Positive
26;Sun Jun 25 00:07:00 +00:00 2023;hpv vaccine trial seeking justice generation betrayed thevaccinereactionorg hpv gardasilneverforget vaccineinjury;4;;;;;;;;;;;;;;;;;0;0;0;ddc3c96c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Vaccine;#HPV;#Gardasil;#NeverForget;#VaccineInjury;;;;;;;;;;;;;;;;;;;;1.672758412508033e+18;https://thevaccinereaction.org/2018/10/the-hpv-vaccine-on-trial-seeking-justice-for-a-generation-betrayed/#.XQ-KwBqK4L8.twitter;;;;;FALSE;a9f94678;en;4;{'neg': 0.244, 'neu': 0.549, 'pos': 0.207, 'compound': -0.1531};207;549;244;-0.1531;Negative
28;Wed Jul 19 18:21:00 +00:00 2023;hazardous ingredient hpv vaccine increase risk young people part merck gardasiltheepochtimescomhealthhaz;0;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Merck;#Gardasil;;;;;;;;;;;;;;;;;;;;;;;1.6817311166071276e+18;https://www.theepochtimes.com/health/hazardous-ingredients-of-hpv-vaccines-increase-risk-to-young-people-part-4_5053536.html?autoemail=talfonsetti3%40gmail.com&utm_source=deployer&utm_medium=email&utm_content=&utm_campaign=roundup&utm_term=;;;;;FALSE;ea07414a;en;0;{'neg': 0.157, 'neu': 0.672, 'pos': 0.172, 'compound': 0.0516};172;672;157;0.0516;Positive
