,X,created_at,full_text,likes_count,mentioning_users.0,mentioning_users.1,mentioning_users.2,mentioning_users.3,mentioning_users.4,mentioning_users.5,mentioning_users.6,mentioning_users.7,mentioning_users.8,mentioning_users.9,mentioning_users.10,mentioning_users.11,mentioning_users.12,mentioning_users.13,mentioning_users.14,mentioning_users.15,played_count,quotes_count,replies_count,replying_to.0,replying_to.1,replying_to.2,replying_to.3,replying_to.4,replying_to.5,replying_to.6,replying_to.7,replying_to.8,replying_to.9,replying_to.10,replying_to.11,replying_to.12,replying_to.13,replying_to.14,replying_to.15,replying_to.16,replying_to.17,replying_to.18,replying_to.19,replying_to.20,replying_to.21,replying_to.22,replying_to.23,replying_to.24,replying_to.25,replying_to.26,replying_to.27,replying_to.28,replying_to.29,replying_to.30,replying_to.31,replying_to.32,replying_to.33,replying_to.34,replying_to.35,replying_to.36,replying_to.37,replying_to.38,replying_to.39,replying_to.40,replying_to.41,replying_to.42,replying_to.43,replying_to.44,replying_to.45,replying_to.46,replying_to.47,retweeted_by,retweets_count,tweet_hashtags.0,tweet_hashtags.1,tweet_hashtags.2,tweet_hashtags.3,tweet_hashtags.4,tweet_hashtags.5,tweet_hashtags.6,tweet_hashtags.7,tweet_hashtags.8,tweet_hashtags.9,tweet_hashtags.10,tweet_hashtags.11,tweet_hashtags.12,tweet_hashtags.13,tweet_hashtags.14,tweet_hashtags.15,tweet_hashtags.16,tweet_hashtags.17,tweet_hashtags.18,tweet_hashtags.19,tweet_hashtags.20,tweet_hashtags.21,tweet_hashtags.22,tweet_hashtags.23,tweet_id,tweet_links.0,tweet_links.1,tweet_links.2,tweet_links.3,url,user_is_verified,user_name,language,engagement,char_count,word_count,tokens,doc_prep,doc_prep_nostop,doc_lemmatized
0,3,Sat May 20 19:20:00 +00:00 2023,"Learn about Gardasil HPV Vaccine Multidistrict Litigation (MDL) in interview w Gardasil injury atty & Wisner Baum senior partner Bijan Esfandiari. HPV vaccine injury cases can move forward for ppl who were hurt after the shot(s).""#Gardasil #HPV #Vaccine""piped.video/watch?v=OkWCf0xJÖ",3,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,#Gardasil,#HPV,#Vaccine,,,,,,,,,,,,,,,,,,,,,,1.6600024539981903e+18,https://piped.video/watch?v=OkWCf0xJW0c,,,,https://twitter.com/WisnerBaum/status/1660002453998190593,False,35be2b85,en,9,283,38,"['Learn', 'about', 'Gardasil', 'HPV', 'Vaccine', 'Multidistrict', 'Litigation', '(', 'MDL', ')', 'in', 'interview', 'w', 'Gardasil', 'injury', 'atty', '&', 'Wisner', 'Baum', 'senior', 'partner', 'Bijan', 'Esfandiari', '.', 'HPV', 'vaccine', 'injury', 'cases', 'can', 'move', 'forward', 'for', 'ppl', 'who', 'were', 'hurt', 'after', 'the', 'shot', '(', 's', ')', '.', '``', '#', 'Gardasil', '#', 'HPV', '#', 'Vaccine', ""''"", 'piped.video/watch', '?', 'v=OkWCf0xJÖ']","['learn', 'about', 'gardasil', 'hpv', 'vaccine', 'multidistrict', 'litigation', 'mdl', 'interview', 'gardasil', 'injury', 'atty', 'wisner', 'baum', 'senior', 'partner', 'bijan', 'esfandiari', 'hpv', 'vaccine', 'injury', 'cases', 'can', 'move', 'forward', 'for', 'ppl', 'who', 'were', 'hurt', 'after', 'the', 'shot', 'gardasil', 'hpv', 'vaccine']","['learn', 'gardasil', 'hpv', 'vaccine', 'multidistrict', 'litigation', 'mdl', 'interview', 'gardasil', 'injury', 'atty', 'wisner', 'baum', 'senior', 'partner', 'bijan', 'esfandiari', 'hpv', 'vaccine', 'injury', 'cases', 'move', 'forward', 'ppl', 'hurt', 'shot', 'gardasil', 'hpv', 'vaccine']","['learn', 'gardasil', 'hpv', 'vaccine', 'multidistrict', 'litigation', 'mdl', 'interview', 'gardasil', 'injury', 'atty', 'wisner', 'baum', 'senior', 'partner', 'bijan', 'esfandiari', 'hpv', 'vaccine', 'injury', 'case', 'move', 'forward', 'ppl', 'hurt', 'shoot', 'gardasil', 'hpv', 'vaccine']"
1,8,Fri Jul 21 22:14:00 +00:00 2023,"#HPV #AdverseEvents #vaccinations #Gardasil #Merck""""childrenshealthdefense.eu/vaÖ",0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#HPV,#AdverseEvents,#vaccinations,#Gardasil,#Merck,,,,,,,,,,,,,,,,,,,,1.682514380733272e+18,https://childrenshealthdefense.eu/vaccine-safety/one-shot-destroyed-my-life-woman-injured-by-mercks-hpv-vaccine-speaks-out/,,,,https://twitter.com/ArnCerv/status/1682514380733272064,False,91b36e47,en,0,81,5,"['#', 'HPV', '#', 'AdverseEvents', '#', 'vaccinations', '#', 'Gardasil', '#', 'Merck', ""''"", ""''"", 'childrenshealthdefense.eu/vaÖ']","['hpv', 'adverseevents', 'vaccinations', 'gardasil', 'merck']","['hpv', 'adverseevents', 'vaccinations', 'gardasil', 'merck']","['hpv', 'adverseevent', 'vaccination', 'gardasil', 'merck']"
2,10,Sat Jul 29 23:39:00 +00:00 2023,"Where I live , gardasil is given to all children , boys and girls.  Protection against cancer causing HPV is a good thing. #gardasil",1,,,,,,,,,,,,,,,,,0,0,0,d1d2c18e,4466250f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.6854349891718758e+18,,,,,https://twitter.com/AnonymousSewer/status/1685434989171875840,False,44125079,en,1,132,24,"['Where', 'I', 'live', ',', 'gardasil', 'is', 'given', 'to', 'all', 'children', ',', 'boys', 'and', 'girls', '.', 'Protection', 'against', 'cancer', 'causing', 'HPV', 'is', 'a', 'good', 'thing', '.', '#', 'gardasil']","['where', 'live', 'gardasil', 'given', 'all', 'children', 'boys', 'and', 'girls', 'protection', 'against', 'cancer', 'causing', 'hpv', 'good', 'thing', 'gardasil']","['live', 'gardasil', 'given', 'children', 'boys', 'girls', 'protection', 'cancer', 'causing', 'hpv', 'good', 'thing', 'gardasil']","['live', 'gardasil', 'give', 'child', 'boy', 'girl', 'protection', 'cancer', 'cause', 'hpv', 'good', 'thing', 'gardasil']"
3,16,Fri Jul 21 22:13:00 +00:00 2023,"#HPV #Gardasil #Merck #vaccini """"childrenshealthdefense.eu/itÖ",0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#HPV,#Gardasil,#Merck,#vaccini,,,,,,,,,,,,,,,,,,,,,1.6825141699652076e+18,https://childrenshealthdefense.eu/it/sicurezza-dei-vaccini/uniniezione-ha-distrutto-la-mia-vita-la-donna-danneggiata-dal-vaccino-hpv-di-merck-parla-apertamente/,,,,https://twitter.com/ArnCerv/status/1682514169965207553,False,91b36e47,en,0,62,5,"['#', 'HPV', '#', 'Gardasil', '#', 'Merck', '#', 'vaccini', '``', ""''"", 'childrenshealthdefense.eu/itÖ']","['hpv', 'gardasil', 'merck', 'vaccini']","['hpv', 'gardasil', 'merck', 'vaccini']","['hpv', 'gardasil', 'merck', 'vaccini']"
4,17,Tue Jun 27 16:43:00 +00:00 2023,"Owens, now in her 30s, is a political commentator and talk show host on The Daily Wire. She shared her ìabsolutely terrifyingî vaccine story in a recent video."" ""#gardasil  childrenshealthdefense.org/dÖ",0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.6737338989692682e+18,https://childrenshealthdefense.org/defender/candace-owens-gardasil-vaccine-injury/,,,,https://twitter.com/rymdfred/status/1673733898969268249,False,18aa430e,en,0,202,30,"['Owens', ',', 'now', 'in', 'her', '30s', ',', 'is', 'a', 'political', 'commentator', 'and', 'talk', 'show', 'host', 'on', 'The', 'Daily', 'Wire', '.', 'She', 'shared', 'her', 'ìabsolutely', 'terrifyingî', 'vaccine', 'story', 'in', 'a', 'recent', 'video', '.', ""''"", '``', '#', 'gardasil', 'childrenshealthdefense.org/dÖ']","['owens', 'now', 'her', 'political', 'commentator', 'and', 'talk', 'show', 'host', 'the', 'daily', 'wire', 'she', 'shared', 'her', 'ìabsolutely', 'terrifyingî', 'vaccine', 'story', 'recent', 'video', 'gardasil']","['owens', 'political', 'commentator', 'talk', 'show', 'host', 'daily', 'wire', 'shared', 'ìabsolutely', 'terrifyingî', 'vaccine', 'story', 'recent', 'video', 'gardasil']","['owen', 'political', 'commentator', 'talk', 'show', 'host', 'daily', 'wire', 'share', 'ìabsolutely', 'terrifyingî', 'vaccine', 'story', 'recent', 'video', 'gardasil']"
5,18,Sat Jun 03 19:11:00 +00:00 2023,"What """"""""innovation"""""""" are you talking about @GSKUS ? How to kill and disable boys and girls with #Gardasil and still get away without compensating and punishment?",1,cc62cbf8,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,,1.665073853293314e+18,,,,,https://twitter.com/TruthSeekerAUM/status/1665073853293314048,False,cfb78c75,en,2,164,26,"['What', '``', ""''"", ""''"", ""''"", 'innovation', ""''"", ""''"", ""''"", ""''"", 'are', 'you', 'talking', 'about', '@', 'GSKUS', '?', 'How', 'to', 'kill', 'and', 'disable', 'boys', 'and', 'girls', 'with', '#', 'Gardasil', 'and', 'still', 'get', 'away', 'without', 'compensating', 'and', 'punishment', '?']","['what', 'innovation', 'are', 'you', 'talking', 'about', 'gskus', 'how', 'kill', 'and', 'disable', 'boys', 'and', 'girls', 'with', 'gardasil', 'and', 'still', 'get', 'away', 'without', 'compensating', 'and', 'punishment']","['innovation', 'talking', 'gskus', 'kill', 'disable', 'boys', 'girls', 'gardasil', 'still', 'get', 'away', 'without', 'compensating', 'punishment']","['innovation', 'talk', 'gskus', 'kill', 'disable', 'boy', 'girl', 'gardasil', 'still', 'get', 'away', 'without', 'compensate', 'punishment']"
6,22,Fri Jul 21 15:31:00 +00:00 2023,Imagine being lied to about a vaccine! ?? #Gardasil #COVID19,2,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#COVID19,,,,,,,,,,,,,,,,,,,,,,,1.6824128842638787e+18,,,,,https://twitter.com/terrylk73/status/1682412884263878657,False,910c5196,en,2,60,10,"['Imagine', 'being', 'lied', 'to', 'about', 'a', 'vaccine', '!', '?', '?', '#', 'Gardasil', '#', 'COVID19']","['imagine', 'being', 'lied', 'about', 'vaccine', 'gardasil']","['imagine', 'lied', 'vaccine', 'gardasil']","['imagine', 'lie', 'vaccine', 'gardasil']"
7,23,Thu Jul 27 19:32:00 +00:00 2023,"Data speaks for itself. Thank you @AaronSiriSG !""Part 13 / 17""#truth #news #health @ICANdecide #Vaccines #DiedSuddenly #CDC #FDA #Fauci #influenza #pfizer #PfizerKnew #moderna #HPV #Merck #Gardasil",19,e693a2e9,78f282da,,,,,,,,,,,,,,,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,#truth,#news,#health,#Vaccines,#DiedSuddenly,#CDC,#FDA,#Fauci,#influenza,#pfizer,#PfizerKnew,#moderna,#HPV,#Merck,#Gardasil,,,,,,,,,,1.684647878323769e+18,,,,,https://twitter.com/DrJudyAMikovits/status/1684647878323769344,True,098ccb93,en,32,197,26,"['Data', 'speaks', 'for', 'itself', '.', 'Thank', 'you', '@', 'AaronSiriSG', '!', '``', 'Part', '13', '/', '17', ""''"", '#', 'truth', '#', 'news', '#', 'health', '@', 'ICANdecide', '#', 'Vaccines', '#', 'DiedSuddenly', '#', 'CDC', '#', 'FDA', '#', 'Fauci', '#', 'influenza', '#', 'pfizer', '#', 'PfizerKnew', '#', 'moderna', '#', 'HPV', '#', 'Merck', '#', 'Gardasil']","['data', 'speaks', 'for', 'itself', 'thank', 'you', 'aaronsirisg', 'part', 'truth', 'news', 'health', 'icandecide', 'vaccines', 'diedsuddenly', 'cdc', 'fda', 'fauci', 'influenza', 'pfizer', 'pfizerknew', 'moderna', 'hpv', 'merck', 'gardasil']","['data', 'speaks', 'thank', 'aaronsirisg', 'part', 'truth', 'news', 'health', 'icandecide', 'vaccines', 'diedsuddenly', 'cdc', 'fda', 'fauci', 'influenza', 'pfizer', 'pfizerknew', 'moderna', 'hpv', 'merck', 'gardasil']","['datum', 'speak', 'thank', 'aaronsirisg', 'part', 'truth', 'news', 'health', 'icandecide', 'vaccine', 'diedsuddenly', 'cdc', 'fda', 'fauci', 'influenza', 'pfizer', 'pfizerknew', 'moderna', 'hpv', 'merck', 'gardasil']"
8,26,Sun Jun 25 00:07:00 +00:00 2023,"The HPV #Vaccine on Trial: Seeking Justice for a Generation Betrayed"" thevaccinereaction.org/2018/Ö #HPV #Gardasil#NeverForget ""#VaccineInjury",4,,,,,,,,,,,,,,,,,0,0,0,ddc3c96c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Vaccine,#HPV,#Gardasil,#NeverForget,#VaccineInjury,,,,,,,,,,,,,,,,,,,,1.672758412508033e+18,https://thevaccinereaction.org/2018/10/the-hpv-vaccine-on-trial-seeking-justice-for-a-generation-betrayed/#.XQ-KwBqK4L8.twitter,,,,https://twitter.com/tabbyday/status/1672758412508033027,False,a9f94678,en,4,142,15,"['The', 'HPV', '#', 'Vaccine', 'on', 'Trial', ':', 'Seeking', 'Justice', 'for', 'a', 'Generation', 'Betrayed', ""''"", 'thevaccinereaction.org/2018/Ö', '#', 'HPV', '#', 'Gardasil', '#', 'NeverForget', '``', '#', 'VaccineInjury']","['the', 'hpv', 'vaccine', 'trial', 'seeking', 'justice', 'for', 'generation', 'betrayed', 'hpv', 'gardasil', 'neverforget', 'vaccineinjury']","['hpv', 'vaccine', 'trial', 'seeking', 'justice', 'generation', 'betrayed', 'hpv', 'gardasil', 'neverforget', 'vaccineinjury']","['hpv', 'vaccine', 'trial', 'seek', 'justice', 'generation', 'betray', 'hpv', 'gardasil', 'neverforget', 'vaccineinjury']"
9,28,Wed Jul 19 18:21:00 +00:00 2023,"Hazardous Ingredients of HPV Vaccines Increase Risk to Young People (Part 4)""#Merck #Gardasil""theepochtimes.com/health/hazÖ",0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Merck,#Gardasil,,,,,,,,,,,,,,,,,,,,,,,1.6817311166071276e+18,https://www.theepochtimes.com/health/hazardous-ingredients-of-hpv-vaccines-increase-risk-to-young-people-part-4_5053536.html?autoemail=talfonsetti3%40gmail.com&utm_source=deployer&utm_medium=email&utm_content=&utm_campaign=roundup&utm_term=,,,,https://twitter.com/thethirdted/status/1681731116607127573,False,ea07414a,en,0,123,13,"['Hazardous', 'Ingredients', 'of', 'HPV', 'Vaccines', 'Increase', 'Risk', 'to', 'Young', 'People', '(', 'Part', '4', ')', ""''"", '#', 'Merck', '#', 'Gardasil', ""''"", 'theepochtimes.com/health/hazÖ']","['hazardous', 'ingredients', 'hpv', 'vaccines', 'increase', 'risk', 'young', 'people', 'part', 'merck', 'gardasil']","['hazardous', 'ingredients', 'hpv', 'vaccines', 'increase', 'risk', 'young', 'people', 'part', 'merck', 'gardasil']","['hazardous', 'ingredient', 'hpv', 'vaccine', 'increase', 'risk', 'young', 'people', 'part', 'merck', 'gardasil']"
