,id,text,dominant_topic
0,2,#propagande!! #Vaccination #gardasil,3
1,11,"Done ?""#gardasil""#hpva??",4
2,20,#Gardasil #GARDASIL poiZon,2
3,30,#Gardasil #GARDASIL poiZon,2
4,44,"@AssociationPEC ""#Gardasil ""#HPV",7
5,58,"@AssociationPEC """"#Gardasil",7
6,65,#Gardasil #GARDASIL poiZon,2
7,68,??????? ?? ????? ??? ????? ?????? ??????  #Garadasil9 #?????_???_????? #... piped.video/188kaJQR2Xw via @YouTube! ??? ??????? ????? ?? ??? ?? ????? ?? ????? ??? ????? ??????? ??????? ???????? ?? ??????? ???? ???? ???? ????? ?? ???????! #gardasil #HPV_vaccine,4
8,72,"@AssociationPEC """"#Gardasil",7
9,199,#Gardasil #GARDASIL poiÖ..poi Ö..sonson,6
10,201,#HPV #Gardasil #vaccination,0
11,204,#Gardasil #GARDASIL poiZon,2
12,211,"Disastroso il bilancio dei risultati  del vaccino #Gardasil. Il tasso di mortalit‡ negli studi clinici sul Gardasil era di 85/100.000, ovvero 37 volte quello del cancro cervicale.""Ma la FDA ne spinge l'utilizzo. ""childrenshealthdefense.org/nÖ",1
13,219,#Gardasil #GARDASIL poiZon,2
14,223,"#France transparence..."" ""#vaccin #gardasil",3
15,238,#Gardasil #GARDASIL poipoiÖ. Son,3
16,240,#Gardasil #gardasil #GARDASIL poiÖ.son,0
17,241,"#VAERS""#vaccineinjury#VaccineDeath ""#Covidvaccination #CovidVaccine #flu #gardasil",4
18,249,#gardasil #Gardasil #GARDASIL. PoiÖ..son,3
19,278,#Gardasil #gardasil #GARDASIL poiÖson,8
20,280,live.childrenshealthdefense.Ö     #GardasilVaccine  #Vaccine #Gardasil #CHD #Merck #litigation,6
21,319,#gardasil #Gardasil poiÖson #GARDASIL,8
22,320,#Gardasil #gardasil #GARDASIL poiÖ.son,0
23,341,"#Gardasil""""Merci Dr @NicoleDelepine",5
24,351,#Gardasil #HPVvaccine,0
25,382,"Danni da vaccino.""G.U 21-12- 2022. Importante ordinanza Corte di Appello di Roma (Pres.Dott. Alessandro Nunziata, Relatore  Alessandra Trementozzi) Per la 1a volta in Italia riconosciuto diabete giovanile collegato a vaccino antipapillomavirus #Gardasil""eventiavversinews.it/pronuncÖ",0
26,384,#Gardasil poiÖ.son,0
27,387,#Gardasil #HPV vaccine and cervical #cancer,9
28,388,"Vaccin anti-HPV†: une dose suffit†! larevuedupraticien.fr/articlÖ via @RevuePraticien """"#Gardasil #vaccination",4
29,411,#GARDASIL #Gardasil poiÖson,8
30,429,#Covid #Vaccination #Pfizer #Gardasil,9
31,470,#DNAcontaminants #Gardasil #HPVvaccine #CancerSuppressorGene #p53,5
32,475,"#Gardasil""#HPV@Sante_Gouv@HAS_sante @AssociationPEC ""@ALnpvl @Revahb1",7
33,497,Il prossimo obbligatorio sar‡ proprio il #Gardasil.,4
34,522,"Magazine NEXUS - Mars-Avril 2023""#Gardasil #vaccin #Papillomavirus #effetssecondaires ""@MagazineNexus",2
35,529,"@AssociationPEC """"#Gardasil",7
36,542,#Gardasil poi son,3
37,546,"#USA, CLASS ACTION CONTRO MERCK PER GARDASIL, IL SUO VACCINO #HPV""L'azione legale sta raccogliendo adesioni di vittime di #DanniDaVaccino in tutti i 50 stati USA. #Gardasil sarebbe responsabile dello sviluppo di disturbi autoimmuni e/o neurologici.expose-news.com/2023/03/03/hÖ""#Merck",5
38,552,"#Gardasil ?? #Papillomavirus """"#VaccineSideEffects #Sante #France #campagne #vaccination",3
39,555,#Papillomavirus #Vaccin #vaccination #effetssecondaires #Gardasil,2
40,684,"@AssociationPEC ""#Gardasil""#Scandale",9
41,724,#Gardasil #vaccination,0
42,764,"#Gardasil""""@AssociationPEC",7
43,771,TÈmoignage #Gardasil poiZon,2
44,775,#Gardasil #GARDASIL poiZon,2
45,797,#Vaccin #Gardasil : Marie-OcÈane raconte son calvaire - Elle elle.fr/Societe/News/Vaccin-Ö via @ELLEfrance,0
46,802,"Esaurita la spinta propulsiva del #COVID19 i #novax tornano a sparare nel mucchio contro #vaccini a caso, compreso il #Gardasil contro il #papilloma.""""Imparata la """"""""lezioncina"""""""" del #grafene lo vedono ovunque, anche con strumenti inadeguati"" ""bufale.net/grafene-nel-gardaÖ",1
47,811,#Gardasil #Vaccin #vaccination #Papillomavirus #BigPharma #Merck #Corruption,0
48,828,Il #Gardasil Ë  un  farmaco che ha fatto enormi danni ...ma devi cercare le notizie perchÈ il #Mainstream non lo dice,0
49,868,#Gardasil tÈmoignage,2
50,898,"@Revahb1 @AssociationPEC @PinsolleT @CaudeHenrion @NicoleDelepine @Ligne__Droite @Houdiakova @XavierBazin2 """"#Gardasil",9
51,899,"@AssociationPEC""""#Gardasil",7
52,928,#graphene #Gardasil  ??,6
53,1028,#pedocriminalitÈ la raison du vaccin #Gardasil .,0
54,1440,"@AssociationPEC """"#Gardasil",7
55,1664,#Gardasil #Vaccin,0
56,2305,#gardasil #papillomavirus #vaccination #vaccinegenocide #genocidevaccinal #graphene #zelada #lilianazelada,0
