,topic_id,words
0,0,"0.100*""gardasil"" + 0.072*""vaccine"" + 0.066*""hpv"" + 0.026*""merck"" + 0.015*""injury"" + 0.014*""girl"" + 0.014*""side"" + 0.013*""call"" + 0.011*""read"" + 0.011*""say"" + 0.011*""effect"" + 0.009*""one"" + 0.009*""man"" + 0.009*""must"" + 0.009*""lawsuit"" + 0.009*""get"" + 0.008*""fda"" + 0.008*""make"" + 0.008*""vaccinate"" + 0.007*""new"" + 0.007*""month"" + 0.007*""autoimmune"" + 0.007*""condition"" + 0.007*""action"" + 0.006*""report"" + 0.006*""populationcontrol"" + 0.006*""woman"" + 0.006*""child"" + 0.006*""people"" + 0.006*""happen"""
1,1,"0.022*""climate"" + 0.019*""wef"" + 0.019*""push"" + 0.018*""make"" + 0.018*""city"" + 0.018*""change"" + 0.018*""use"" + 0.017*""new"" + 0.017*""people"" + 0.015*""know"" + 0.013*""every"" + 0.013*""food"" + 0.012*""go"" + 0.012*""agenda"" + 0.012*""climatescam"" + 0.012*""eat"" + 0.011*""year"" + 0.011*""usa"" + 0.011*""many"" + 0.010*""minute"" + 0.009*""etc"" + 0.009*""see"" + 0.009*""live"" + 0.008*""get"" + 0.008*""donít"" + 0.007*""wefpuppet"" + 0.007*""pay"" + 0.007*""land"" + 0.007*""break"" + 0.007*""attention"""
2,2,"0.077*""wef"" + 0.055*""nwo"" + 0.042*""climatescam"" + 0.039*""newworldorder"" + 0.038*""greatreset"" + 0.028*""digitalid"" + 0.027*""diedsuddenly"" + 0.026*""chemtrail"" + 0.025*""klausschwab"" + 0.024*""billgate"" + 0.024*""cbdc"" + 0.020*""depopulationagenda"" + 0.020*""socialcreditsystem"" + 0.019*""pureblood"" + 0.012*""matrix"" + 0.010*""covid"" + 0.009*""depopulation"" + 0.009*""vaccinegenocide"" + 0.009*""wefpuppet"" + 0.009*""government"" + 0.008*""genocide"" + 0.008*""vaccineinjurie"" + 0.007*""part"" + 0.007*""lockdown"" + 0.007*""plan"" + 0.006*""say"" + 0.006*""donotcomply"" + 0.006*""wakeup"" + 0.006*""vaccinedeath"" + 0.006*""plandemic"""
3,3,"0.032*""climatescam"" + 0.030*""wef"" + 0.024*""world"" + 0.020*""control"" + 0.013*""nation"" + 0.012*""nothing"" + 0.012*""climate"" + 0.012*""want"" + 0.011*""sdgs"" + 0.011*""new"" + 0.010*""people"" + 0.010*""australia"" + 0.010*""agenda"" + 0.010*""climatecult"" + 0.009*""netzero"" + 0.009*""stop"" + 0.009*""freedom"" + 0.009*""politician"" + 0.009*""youtube"" + 0.009*""unite"" + 0.009*""need"" + 0.008*""auspol"" + 0.008*""tax"" + 0.008*""join"" + 0.008*""zero"" + 0.007*""make"" + 0.007*""hope"" + 0.007*""globalist"" + 0.007*""greatreset"" + 0.007*""covid"""
4,4,"0.119*""gardasil"" + 0.052*""hpv"" + 0.045*""vaccine"" + 0.021*""cancer"" + 0.021*""hpvvaccine"" + 0.021*""cause"" + 0.013*""cervicalcancer"" + 0.013*""know"" + 0.012*""merck"" + 0.010*""science"" + 0.009*""death"" + 0.009*""cervical"" + 0.008*""child"" + 0.008*""trial"" + 0.008*""find"" + 0.007*""kill"" + 0.007*""macron"" + 0.007*""boy"" + 0.007*""informedconsent"" + 0.006*""parent"" + 0.006*""injure"" + 0.006*""link"" + 0.006*""covid"" + 0.006*""hmmm"" + 0.006*""vaccineinjurie"" + 0.006*""thank"" + 0.006*""shot"" + 0.006*""fda"" + 0.006*""use"" + 0.006*""kid"""
5,5,"0.043*""cbdc"" + 0.022*""digital"" + 0.019*""wef"" + 0.016*""esg"" + 0.015*""greatreset"" + 0.013*""ostrich"" + 0.013*""bric"" + 0.013*""climatescam"" + 0.013*""newworldorder"" + 0.012*""nwo"" + 0.012*""world"" + 0.011*""cataclysmicevent"" + 0.011*""magnetosphere"" + 0.011*""poleshift"" + 0.011*""greenwashe"" + 0.011*""thewestisfallen"" + 0.011*""carbonneutral"" + 0.011*""invasionusa"" + 0.011*""truth"" + 0.010*""blackstart"" + 0.010*""motb"" + 0.010*""cashless"" + 0.009*""diedsuddenly"" + 0.009*""blackswan"" + 0.009*""madeinchina"" + 0.009*""listen"" + 0.009*""get"" + 0.009*""crimesagainsthumanity"" + 0.009*""digitalid"" + 0.009*""globalist"""
6,6,"0.025*""wef"" + 0.023*""plan"" + 0.020*""like"" + 0.018*""never"" + 0.016*""lie"" + 0.016*""climatescam"" + 0.016*""globalist"" + 0.014*""great"" + 0.014*""time"" + 0.013*""propaganda"" + 0.013*""everyone"" + 0.013*""covid"" + 0.012*""wake"" + 0.011*""watch"" + 0.011*""world"" + 0.011*""greatreset"" + 0.011*""get"" + 0.010*""evil"" + 0.010*""come"" + 0.010*""see"" + 0.010*""believe"" + 0.009*""want"" + 0.009*""itís"" + 0.009*""iím"" + 0.008*""well"" + 0.008*""hypocrisy"" + 0.008*""show"" + 0.007*""try"" + 0.007*""happen"" + 0.007*""climate"""
7,7,"0.030*""wef"" + 0.025*""room"" + 0.021*""need"" + 0.016*""plan"" + 0.015*""come"" + 0.013*""know"" + 0.013*""thegreatreset"" + 0.013*""get"" + 0.012*""development"" + 0.012*""city"" + 0.011*""nwo"" + 0.011*""check"" + 0.009*""goal"" + 0.009*""video"" + 0.009*""sustainable"" + 0.009*""blackrock"" + 0.009*""time"" + 0.008*""class"" + 0.008*""live"" + 0.008*""question"" + 0.008*""do"" + 0.008*""long"" + 0.007*""help"" + 0.007*""want"" + 0.007*""alle"" + 0.007*""america"" + 0.007*""support"" + 0.007*""see"" + 0.006*""middle"" + 0.006*""londonphotographer"""
8,8,"0.024*""wef"" + 0.021*""take"" + 0.020*""people"" + 0.015*""wefpuppet"" + 0.015*""king"" + 0.014*""know"" + 0.014*""itís"" + 0.013*""plan"" + 0.013*""samaria"" + 0.012*""world"" + 0.012*""bring"" + 0.011*""global"" + 0.010*""another"" + 0.010*""klaus"" + 0.009*""wildfire"" + 0.009*""part"" + 0.009*""economic"" + 0.009*""trudeau"" + 0.009*""americaisfallen"" + 0.009*""schwab"" + 0.009*""destroy"" + 0.008*""million"" + 0.008*""town"" + 0.008*""forum"" + 0.008*""live"" + 0.008*""think"" + 0.008*""government"" + 0.008*""social"" + 0.008*""also"" + 0.008*""let"""
9,9,"0.032*""agenda"" + 0.019*""world"" + 0.019*""one"" + 0.018*""think"" + 0.018*""wef"" + 0.017*""nothing"" + 0.016*""name"" + 0.016*""woman"" + 0.016*""greatreset"" + 0.013*""everything"" + 0.013*""people"" + 0.012*""happy"" + 0.012*""evil"" + 0.011*""push"" + 0.011*""way"" + 0.011*""control"" + 0.010*""big"" + 0.010*""want"" + 0.010*""global"" + 0.010*""create"" + 0.009*""attack"" + 0.009*""try"" + 0.009*""much"" + 0.008*""country"" + 0.008*""right"" + 0.008*""plan"" + 0.008*""freedom"" + 0.008*""vote"" + 0.008*""get"" + 0.007*""go"""
