,topic_id,words
0,0,"0.083*""lawsuit"" + 0.061*""need"" + 0.055*""know"" + 0.053*""merck"" + 0.041*""cause"" + 0.041*""disease"" + 0.041*""txlege"" + 0.041*""notextremelysafe"" + 0.041*""may"" + 0.035*""long"""
1,1,"0.078*""trial"" + 0.065*""injure"" + 0.055*""read"" + 0.051*""cervical"" + 0.046*""human"" + 0.042*""death"" + 0.039*""injury"" + 0.033*""covid"" + 0.033*""via"" + 0.028*""cause"""
2,2,"0.082*""effect"" + 0.074*""side"" + 0.056*""vaccinate"" + 0.055*""make"" + 0.040*""cause"" + 0.040*""daughter"" + 0.034*""girl"" + 0.032*""one"" + 0.032*""take"" + 0.032*""child"""
3,3,"0.176*""girl"" + 0.117*""get"" + 0.057*""vaccinesideeffect"" + 0.057*""truth"" + 0.057*""vaccineinjurie"" + 0.056*""come"" + 0.052*""many"" + 0.046*""old"" + 0.046*""lead"" + 0.037*""cause"""
4,4,"0.098*""macron"" + 0.084*""jarnac"" + 0.081*""child"" + 0.070*""would"" + 0.057*""reason"" + 0.043*""parent"" + 0.043*""allow"" + 0.039*""increase"" + 0.031*""young"" + 0.029*""science"""
5,5,"0.084*""woman"" + 0.056*""merck"" + 0.050*""young"" + 0.043*""study"" + 0.043*""never"" + 0.035*""experience"" + 0.035*""new"" + 0.035*""available"" + 0.035*""condition"" + 0.034*""autoimmune"""
6,6,"0.095*""fda"" + 0.054*""pharmaceutical"" + 0.051*""merck"" + 0.045*""die"" + 0.045*""story"" + 0.045*""hpvawareness"" + 0.042*""know"" + 0.038*""injury"" + 0.036*""health"" + 0.032*""receive"""
7,7,"0.163*""merck"" + 0.090*""sue"" + 0.075*""science"" + 0.074*""informedconsent"" + 0.063*""death"" + 0.062*""cause"" + 0.050*""physiciansforinformedconsentö"" + 0.050*""boy"" + 0.049*""know"" + 0.042*""link"""
8,8,"0.083*""injury"" + 0.060*""baum"" + 0.051*""lawsuit"" + 0.051*""wisner"" + 0.043*""order"" + 0.043*""lawyer"" + 0.043*""litigation"" + 0.035*""death"" + 0.034*""allege"" + 0.027*""merck"""
9,9,"0.095*""find"" + 0.087*""prevent"" + 0.074*""merck"" + 0.068*""thank"" + 0.068*""state"" + 0.065*""multiple"" + 0.065*""case"" + 0.055*""vax"" + 0.055*""cervarix"" + 0.049*""fda"""
