,topic_id,words
0,0,"0.060*""vaccin"" + 0.040*""contre"" + 0.038*""cancer"" + 0.033*""prendre"" + 0.031*""vaccination"" + 0.030*""vouloir"" + 0.029*""enfant"" + 0.028*""fille"" + 0.027*""faire"" + 0.026*""ce"" + 0.024*""papillomavirus"" + 0.021*""dangereu"" + 0.021*""garáon"" + 0.020*""inefficace"" + 0.019*""vaccinez"" + 0.018*""aussi"" + 0.017*""macron"" + 0.017*""avoir"" + 0.017*""piquer"" + 0.016*""risque"" + 0.015*""tout"" + 0.015*""peu"" + 0.013*""non"" + 0.013*""permettre"" + 0.013*""pouvoir"" + 0.012*""bien"" + 0.012*""plus"" + 0.012*""temps"" + 0.011*""petit"" + 0.011*""toujours"""
1,1,"0.076*""papillomavirus"" + 0.066*""vaccin"" + 0.061*""contre"" + 0.055*""vaccination"" + 0.052*""macron"" + 0.034*""hpv"" + 0.025*""antiva"" + 0.025*""bien"" + 0.024*""vacciner"" + 0.024*""collëge"" + 0.021*""èter"" + 0.017*""wef"" + 0.016*""mèdecin"" + 0.016*""enfant"" + 0.015*""jarnac"" + 0.014*""cancer"" + 0.013*""devoir"" + 0.013*""tout"" + 0.013*""raoult"" + 0.012*""obligatoire"" + 0.012*""peur"" + 0.011*""autre"" + 0.011*""donc"" + 0.011*""cas"" + 0.011*""sèance"" + 0.011*""vie"" + 0.011*""rendre"" + 0.010*""chez"" + 0.009*""comme"" + 0.009*""ítre"""
2,2,"0.082*""faire"" + 0.047*""tout"" + 0.035*""comme"" + 0.031*""bon"" + 0.031*""cíest"" + 0.024*""leur"" + 0.023*""vouloir"" + 0.023*""vaccin"" + 0.020*""enfant"" + 0.018*""procë"" + 0.018*""user"" + 0.018*""ce"" + 0.017*""parent"" + 0.016*""monde"" + 0.016*""big"" + 0.014*""jeune"" + 0.014*""avant"" + 0.014*""masse"" + 0.014*""pharma"" + 0.014*""effetssecondairesvaccin"" + 0.014*""vacciner"" + 0.012*""marchè"" + 0.012*""vraiment"" + 0.011*""macron"" + 0.011*""níest"" + 0.011*""juste"" + 0.011*""covid"" + 0.010*""dire"" + 0.009*""non"" + 0.009*""papillomavirus"""
3,3,"0.072*""enfant"" + 0.041*""santè"" + 0.034*""effetssecondaire"" + 0.028*""vaccination"" + 0.028*""mensonge"" + 0.027*""papillomavirus"" + 0.025*""propagand"" + 0.025*""seul"" + 0.023*""aprë"" + 0.021*""comme"" + 0.021*""bigpharma"" + 0.021*""jour"" + 0.021*""greatreset"" + 0.021*""tout"" + 0.020*""vrp"" + 0.018*""parl"" + 0.017*""article"" + 0.017*""suffire"" + 0.017*""macron"" + 0.016*""autre"" + 0.014*""cancer"" + 0.014*""travail"" + 0.014*""tèmoignage"" + 0.014*""dont"" + 0.014*""poison"" + 0.013*""politique"" + 0.011*""pfizer"" + 0.011*""concerner"" + 0.011*""sujet"" + 0.011*""poizon"""
4,4,"0.040*""odd"" + 0.040*""vouloir"" + 0.035*""plan"" + 0.034*""vaccin"" + 0.031*""plus"" + 0.031*""depuis"" + 0.028*""fille"" + 0.028*""injecter"" + 0.025*""tout"" + 0.024*""avenir"" + 0.021*""pays"" + 0.020*""expliquer"" + 0.020*""sans"" + 0.019*""interdire"" + 0.019*""alors"" + 0.019*""propagand"" + 0.019*""justice"" + 0.019*""devoir"" + 0.019*""franáai"" + 0.018*""ítre"" + 0.017*""míme"" + 0.016*""garáon"" + 0.016*""exister"" + 0.016*""action"" + 0.016*""voici"" + 0.015*""pètition"" + 0.015*""macron"" + 0.014*""jeune"" + 0.014*""temps"" + 0.013*""aucun"""
5,5,"0.076*""nouveau"" + 0.063*""vaccin"" + 0.057*""inefficace"" + 0.055*""papillomavirus"" + 0.055*""danger"" + 0.052*""ado"" + 0.052*""dangereu"" + 0.051*""gouvernement"" + 0.051*""vaccination"" + 0.045*""pouss"" + 0.043*""contre"" + 0.042*""favoriser"" + 0.042*""rentrèe"" + 0.038*""virus"" + 0.031*""via"" + 0.021*""gibertiepatrice"" + 0.021*""vèritè"" + 0.017*""protegeonsnosenfant"" + 0.014*""rappel"" + 0.011*""fois"" + 0.007*""non"" + 0.007*""merci"" + 0.007*""raoult"" + 0.007*""aprë"" + 0.007*""pendant"" + 0.006*""projet"" + 0.006*""anti"" + 0.005*""celer"" + 0.004*""question"" + 0.004*""grave"""
6,6,"0.050*""france"" + 0.046*""macron"" + 0.041*""falloir"" + 0.039*""papillomavirus"" + 0.035*""jarnac"" + 0.034*""injection"" + 0.032*""vaccin"" + 0.028*""collëge"" + 0.025*""voir"" + 0.023*""question"" + 0.022*""macrondestitution"" + 0.020*""hpv"" + 0.020*""corruption"" + 0.019*""trës"" + 0.019*""pari"" + 0.019*""non"" + 0.019*""vaccination"" + 0.019*""parent"" + 0.019*""bigpharma"" + 0.015*""cancer"" + 0.015*""pouvoir"" + 0.015*""contre"" + 0.013*""deux"" + 0.013*""ítre"" + 0.013*""sou"" + 0.012*""plus"" + 0.011*""frexit"" + 0.010*""protegeonsnosenfant"" + 0.010*""promotion"" + 0.010*""conseil"""
7,7,"0.093*""merck"" + 0.048*""dire"" + 0.035*""faire"" + 0.030*""sans"" + 0.026*""indèsirable"" + 0.026*""papillomavirus"" + 0.024*""plus"" + 0.024*""vaccinationenfant"" + 0.024*""levothyrox"" + 0.024*""donnèes"" + 0.024*""mettre"" + 0.023*""scandale"" + 0.022*""an"" + 0.021*""vaccin"" + 0.020*""odd"" + 0.020*""comment"" + 0.019*""savoir"" + 0.018*""merci"" + 0.018*""avant"" + 0.015*""nelaisserpersonnedecùtè"" + 0.015*""examen"" + 0.015*""coup"" + 0.015*""laboratoir"" + 0.015*""ètè"" + 0.014*""tout"" + 0.012*""comme"" + 0.012*""pharmaceutique"" + 0.012*""depuis"" + 0.011*""produit"" + 0.011*""ministre"""
8,8,"0.119*""effet"" + 0.115*""secondaire"" + 0.090*""grave"" + 0.047*""vaccin"" + 0.042*""dècë"" + 0.042*""obligatoire"" + 0.038*""adjuvant"" + 0.038*""nourrisson"" + 0.034*""provoqu"" + 0.030*""causès"" + 0.025*""contre"" + 0.024*""loi"" + 0.022*""buzyn"" + 0.020*""agnës"" + 0.019*""covid"" + 0.016*""col"" + 0.014*""injectè"" + 0.014*""plainte"" + 0.014*""pays"" + 0.012*""immèdiat"" + 0.012*""crime"" + 0.012*""provoquer"" + 0.012*""va"" + 0.010*""jeune"" + 0.008*""dèposèe"" + 0.008*""certain"" + 0.007*""injection"" + 0.007*""toujours"" + 0.006*""international"" + 0.005*""poison"""
9,9,"0.068*""míme"" + 0.066*""vaccin"" + 0.054*""procë"" + 0.046*""hpv"" + 0.037*""effet"" + 0.034*""secondaire"" + 0.031*""user"" + 0.030*""enfant"" + 0.029*""vacciner"" + 0.027*""contre"" + 0.025*""propos"" + 0.025*""papillomavirus"" + 0.023*""plus"" + 0.022*""humain"" + 0.022*""temps"" + 0.018*""mise"" + 0.018*""pourquoi"" + 0.018*""appeler"" + 0.015*""pouvoir"" + 0.015*""france"" + 0.015*""adolescent"" + 0.015*""infection"" + 0.014*""dire"" + 0.013*""anti"" + 0.012*""cours"" + 0.011*""aucun"" + 0.011*""donnèes"" + 0.011*""lien"" + 0.011*""dangereu"" + 0.008*""cíest"""
