,topic_id,words
0,0,"0.097*""secondaire"" + 0.097*""effet"" + 0.074*""grave"" + 0.039*""contre"" + 0.034*""dècë"" + 0.033*""obligatoire"" + 0.032*""nourrisson"" + 0.032*""adjuvant"" + 0.029*""provoqu"" + 0.027*""dangereu"" + 0.026*""danger"" + 0.026*""nouveau"" + 0.025*""causès"" + 0.023*""inefficace"" + 0.022*""ado"" + 0.022*""gouvernement"" + 0.020*""pouss"" + 0.020*""favoriser"" + 0.020*""rentrèe"" + 0.019*""virus"" + 0.019*""buzyn"" + 0.018*""loi"" + 0.017*""agnës"" + 0.016*""jeune"" + 0.012*""via"" + 0.011*""pays"" + 0.010*""va"" + 0.010*""gibertiepatrice"" + 0.010*""plainte"" + 0.010*""immèdiat"""
1,1,"0.040*""contre"" + 0.038*""an"" + 0.037*""vacciner"" + 0.036*""procë"" + 0.034*""enfant"" + 0.030*""macron"" + 0.027*""user"" + 0.025*""effet"" + 0.024*""faire"" + 0.023*""propos"" + 0.023*""adolescent"" + 0.023*""vrp"" + 0.023*""míme"" + 0.021*""secondaire"" + 0.019*""temps"" + 0.019*""infection"" + 0.019*""deux"" + 0.019*""concerner"" + 0.019*""appeler"" + 0.019*""aprë"" + 0.019*""politique"" + 0.018*""quand"" + 0.017*""cíest"" + 0.016*""cancer"" + 0.016*""dire"" + 0.016*""humain"" + 0.016*""obligatoire"" + 0.012*""plus"" + 0.012*""col"" + 0.012*""raoult"""
2,2,"0.047*""macron"" + 0.046*""risque"" + 0.042*""expliquer"" + 0.036*""collëge"" + 0.036*""produit"" + 0.036*""injecter"" + 0.030*""oui"" + 0.030*""èter"" + 0.027*""contre"" + 0.024*""point"" + 0.024*""sèance"" + 0.023*""donc"" + 0.023*""petit"" + 0.023*""plus"" + 0.022*""juste"" + 0.018*""ce"" + 0.018*""aucun"" + 0.018*""venir"" + 0.018*""braun"" + 0.018*""question"" + 0.018*""jarnac"" + 0.017*""depuis"" + 0.017*""suite"" + 0.012*""jeune"" + 0.012*""comment"" + 0.012*""avant"" + 0.012*""chez"" + 0.012*""propagand"" + 0.012*""pseudo"" + 0.012*""bon"""
3,3,"0.098*""enfant"" + 0.060*""macron"" + 0.044*""collëge"" + 0.036*""jarnac"" + 0.036*""faire"" + 0.029*""autre"" + 0.028*""parent"" + 0.026*""procë"" + 0.026*""protegeonsnosenfant"" + 0.026*""vacciner"" + 0.025*""ètè"" + 0.022*""non"" + 0.019*""confiance"" + 0.019*""merck"" + 0.019*""comme"" + 0.019*""masse"" + 0.018*""rien"" + 0.018*""contre"" + 0.018*""injection"" + 0.016*""scandale"" + 0.016*""lien"" + 0.016*""tout"" + 0.014*""marchè"" + 0.013*""ce"" + 0.013*""vouloir"" + 0.013*""mèdecin"" + 0.013*""an"" + 0.013*""corruption"" + 0.013*""prèsident"" + 0.012*""user"""
4,4,"0.100*""contre"" + 0.067*""fille"" + 0.056*""cancer"" + 0.048*""garáon"" + 0.047*""merck"" + 0.040*""antiva"" + 0.036*""donnèes"" + 0.034*""inefficace"" + 0.033*""vaccinez"" + 0.029*""indèsirable"" + 0.023*""france"" + 0.023*""dangereu"" + 0.022*""falloir"" + 0.021*""macron"" + 0.020*""avoir"" + 0.018*""vie"" + 0.018*""anti"" + 0.015*""col"" + 0.015*""raoult"" + 0.015*""jour"" + 0.015*""míme"" + 0.014*""dire"" + 0.012*""ètè"" + 0.011*""pari"" + 0.011*""conseil"" + 0.010*""vouloir"" + 0.010*""vacciner"" + 0.009*""mise"" + 0.009*""bon"" + 0.008*""risque"""
5,5,"0.045*""avant"" + 0.040*""ce"" + 0.034*""faire"" + 0.030*""macron"" + 0.029*""quand"" + 0.029*""santè"" + 0.027*""merck"" + 0.027*""aller"" + 0.027*""promotion"" + 0.026*""enfant"" + 0.025*""devoir"" + 0.023*""dont"" + 0.023*""cas"" + 0.019*""bigpharma"" + 0.019*""levothyrox"" + 0.019*""chez"" + 0.019*""dècision"" + 0.019*""laboratoir"" + 0.019*""prendre"" + 0.019*""regarder"" + 0.018*""parl"" + 0.017*""tout"" + 0.017*""effet"" + 0.016*""examen"" + 0.016*""peur"" + 0.015*""ítre"" + 0.015*""voir"" + 0.013*""france"" + 0.012*""scandale"" + 0.012*""mettre"""
6,6,"0.058*""merci"" + 0.057*""comme"" + 0.047*""fois"" + 0.040*""effetssecondaire"" + 0.036*""injection"" + 0.035*""celui"" + 0.034*""big"" + 0.033*""covid"" + 0.032*""dire"" + 0.030*""effetssecondairesvaccin"" + 0.029*""bon"" + 0.027*""pharma"" + 0.024*""vaccinationenfant"" + 0.023*""ami"" + 0.019*""bigpharma"" + 0.018*""dose"" + 0.018*""celer"" + 0.018*""permettre"" + 0.018*""tèmoignage"" + 0.018*""vouloir"" + 0.015*""vraiment"" + 0.015*""leur"" + 0.012*""injectè"" + 0.012*""falloir"" + 0.012*""interdire"" + 0.012*""plainte"" + 0.012*""associationpec"" + 0.012*""procë"" + 0.011*""braun"" + 0.011*""user"""
7,7,"0.059*""faire"" + 0.045*""sans"" + 0.039*""pfizer"" + 0.037*""tout"" + 0.037*""propagand"" + 0.036*""aprë"" + 0.035*""enfant"" + 0.032*""vouloir"" + 0.032*""pouvoir"" + 0.028*""dangereu"" + 0.027*""seul"" + 0.027*""article"" + 0.027*""prendre"" + 0.023*""mensonge"" + 0.021*""míme"" + 0.019*""leur"" + 0.019*""ítre"" + 0.019*""toujours"" + 0.019*""temps"" + 0.016*""avoir"" + 0.015*""pourquoi"" + 0.015*""comme"" + 0.015*""exemple"" + 0.015*""secondaire"" + 0.013*""car"" + 0.013*""mèdecin"" + 0.013*""quíil"" + 0.013*""bigpharma"" + 0.012*""ce"" + 0.010*""cíest"""
8,8,"0.060*""vouloir"" + 0.057*""plus"" + 0.052*""tout"" + 0.048*""macron"" + 0.041*""non"" + 0.037*""covid"" + 0.035*""míme"" + 0.030*""merck"" + 0.028*""faire"" + 0.027*""enfant"" + 0.025*""comme"" + 0.025*""mensonge"" + 0.022*""france"" + 0.022*""user"" + 0.021*""pendant"" + 0.017*""arnm"" + 0.017*""dire"" + 0.017*""sans"" + 0.017*""vèritè"" + 0.017*""victime"" + 0.016*""rappel"" + 0.014*""piquer"" + 0.014*""procë"" + 0.014*""cíest"" + 0.014*""devoir"" + 0.013*""article"" + 0.012*""depuis"" + 0.012*""mettre"" + 0.010*""mèdecin"" + 0.009*""encore"""
9,9,"0.088*""cancer"" + 0.057*""bien"" + 0.044*""faire"" + 0.044*""aussi"" + 0.043*""contre"" + 0.038*""santè"" + 0.038*""parent"" + 0.036*""savoir"" + 0.031*""tout"" + 0.031*""vacciner"" + 0.027*""trës"" + 0.027*""peu"" + 0.027*""cíest"" + 0.022*""via"" + 0.022*""criminel"" + 0.021*""quoi"" + 0.020*""plus"" + 0.017*""leur"" + 0.017*""col"" + 0.017*""associationpec"" + 0.014*""vraiment"" + 0.012*""obligatoire"" + 0.012*""dire"" + 0.011*""pseudo"" + 0.011*""rendre"" + 0.011*""poison"" + 0.008*""certain"" + 0.008*""pharma"" + 0.008*""petit"" + 0.008*""big"""
