,topic_id,words
0,0,"0.262*""globalista"" + 0.024*""usare"" + 0.024*""energia"" + 0.024*""fare"" + 0.024*""giorgiamelone"" + 0.024*""Italia"" + 0.024*""Russia"" + 0.024*""cainostory"" + 0.024*""franborgonovare"" + 0.024*""belpietrotweet"" + 0.024*""ladyonorare"" + 0.024*""laveritaweb"" + 0.024*""madforfrea"" + 0.024*""matteosalvinimo"" + 0.024*""ivreich"" + 0.024*""energy"" + 0.024*""energytransition"" + 0.024*""rinnovabile"" + 0.024*""rusembitaly"" + 0.024*""sustainability"" + 0.024*""europe"" + 0.024*""gardasil"" + 0.024*""wef"" + 0.024*""associationpec"" + 0.024*""essere"" + 0.024*""vaccin"" + 0.024*""poizon"" + 0.024*""vaccination"" + 0.024*""francia"" + 0.024*""Hpv"""
1,1,"0.741*""gardasil"" + 0.145*""associationpec"" + 0.073*""Hpv"" + 0.002*""son"" + 0.001*""fare"" + 0.001*""poizon"" + 0.001*""Italia"" + 0.001*""vaccin"" + 0.001*""usare"" + 0.001*""vaccination"" + 0.001*""essere"" + 0.001*""wef"" + 0.001*""globalista"" + 0.001*""giorgiamelone"" + 0.001*""francia"" + 0.001*""Russia"" + 0.001*""energia"" + 0.001*""papillomavirus"" + 0.001*""cainostory"" + 0.001*""sustainability"" + 0.001*""energy"" + 0.001*""energytransition"" + 0.001*""franborgonovare"" + 0.001*""madforfrea"" + 0.001*""ladyonorare"" + 0.001*""laveritaweb"" + 0.001*""europe"" + 0.001*""matteosalvinimo"" + 0.001*""ivreich"" + 0.001*""rinnovabile"""
2,2,"0.156*""energia"" + 0.139*""energytransition"" + 0.139*""sustainability"" + 0.139*""europe"" + 0.139*""Russia"" + 0.122*""energy"" + 0.088*""rinnovabile"" + 0.036*""Italia"" + 0.002*""wef"" + 0.002*""gardasil"" + 0.002*""associationpec"" + 0.002*""usare"" + 0.002*""essere"" + 0.002*""vaccination"" + 0.002*""fare"" + 0.002*""globalista"" + 0.002*""giorgiamelone"" + 0.002*""poizon"" + 0.002*""vaccin"" + 0.002*""francia"" + 0.002*""son"" + 0.002*""Hpv"" + 0.002*""ladyonorare"" + 0.002*""matteosalvinimo"" + 0.002*""madforfrea"" + 0.002*""laveritaweb"" + 0.002*""franborgonovare"" + 0.002*""belpietrotweet"" + 0.002*""cainostory"" + 0.002*""ivreich"""
3,3,"0.554*""Italia"" + 0.120*""energia"" + 0.011*""fare"" + 0.011*""Russia"" + 0.011*""energytransition"" + 0.011*""sustainability"" + 0.011*""europe"" + 0.011*""wef"" + 0.011*""globalista"" + 0.011*""francia"" + 0.011*""energy"" + 0.011*""rinnovabile"" + 0.011*""usare"" + 0.011*""gardasil"" + 0.011*""essere"" + 0.011*""associationpec"" + 0.011*""vaccin"" + 0.011*""giorgiamelone"" + 0.011*""vaccination"" + 0.011*""poizon"" + 0.011*""laveritaweb"" + 0.011*""son"" + 0.011*""Hpv"" + 0.011*""belpietrotweet"" + 0.011*""matteosalvinimo"" + 0.011*""madforfrea"" + 0.011*""franborgonovare"" + 0.011*""papillomavirus"" + 0.011*""ladyonorare"" + 0.011*""ivreich"""
4,4,"0.212*""wef"" + 0.212*""usare"" + 0.134*""essere"" + 0.133*""francia"" + 0.133*""fare"" + 0.107*""globalista"" + 0.003*""Italia"" + 0.003*""energia"" + 0.003*""Russia"" + 0.003*""vaccin"" + 0.003*""gardasil"" + 0.003*""energytransition"" + 0.003*""energy"" + 0.003*""sustainability"" + 0.003*""europe"" + 0.003*""Hpv"" + 0.003*""papillomavirus"" + 0.003*""vaccination"" + 0.003*""associationpec"" + 0.003*""giorgiamelone"" + 0.003*""poizon"" + 0.003*""matteosalvinimo"" + 0.003*""laveritaweb"" + 0.003*""rinnovabile"" + 0.003*""ladyonorare"" + 0.003*""cainostory"" + 0.003*""ivreich"" + 0.003*""son"" + 0.003*""madforfrea"" + 0.003*""franborgonovare"""
5,5,"0.099*""belpietrotweet"" + 0.099*""rusembitaly"" + 0.099*""matteosalvinimo"" + 0.099*""madforfrea"" + 0.099*""laveritaweb"" + 0.099*""ladyonorare"" + 0.099*""ivreich"" + 0.099*""franborgonovare"" + 0.099*""giorgiamelone"" + 0.091*""cainostory"" + 0.001*""gardasil"" + 0.001*""associationpec"" + 0.001*""energia"" + 0.001*""Russia"" + 0.001*""energytransition"" + 0.001*""europe"" + 0.001*""sustainability"" + 0.001*""Hpv"" + 0.001*""papillomavirus"" + 0.001*""rinnovabile"" + 0.001*""energy"" + 0.001*""vaccin"" + 0.001*""vaccination"" + 0.001*""wef"" + 0.001*""usare"" + 0.001*""fare"" + 0.001*""essere"" + 0.001*""Italia"" + 0.001*""poizon"" + 0.001*""globalista"""
6,6,"0.569*""gardasil"" + 0.303*""poizon"" + 0.004*""usare"" + 0.004*""Hpv"" + 0.004*""vaccination"" + 0.004*""francia"" + 0.004*""papillomavirus"" + 0.004*""wef"" + 0.004*""son"" + 0.004*""giorgiamelone"" + 0.004*""Italia"" + 0.004*""rusembitaly"" + 0.004*""cainostory"" + 0.004*""franborgonovare"" + 0.004*""belpietrotweet"" + 0.004*""ivreich"" + 0.004*""ladyonorare"" + 0.004*""laveritaweb"" + 0.004*""madforfrea"" + 0.004*""matteosalvinimo"" + 0.004*""vaccin"" + 0.004*""energia"" + 0.004*""essere"" + 0.004*""fare"" + 0.004*""Russia"" + 0.004*""globalista"" + 0.004*""associationpec"" + 0.004*""energy"" + 0.004*""europe"" + 0.004*""rinnovabile"""
7,7,"0.347*""gardasil"" + 0.237*""vaccination"" + 0.211*""vaccin"" + 0.133*""papillomavirus"" + 0.003*""Hpv"" + 0.003*""son"" + 0.003*""associationpec"" + 0.003*""francia"" + 0.003*""wef"" + 0.003*""usare"" + 0.003*""essere"" + 0.003*""giorgiamelone"" + 0.003*""Italia"" + 0.003*""fare"" + 0.003*""globalista"" + 0.003*""energia"" + 0.003*""europe"" + 0.003*""energy"" + 0.003*""energytransition"" + 0.003*""belpietrotweet"" + 0.003*""poizon"" + 0.003*""cainostory"" + 0.003*""laveritaweb"" + 0.003*""ivreich"" + 0.003*""ladyonorare"" + 0.003*""sustainability"" + 0.003*""madforfrea"" + 0.003*""matteosalvinimo"" + 0.003*""franborgonovare"" + 0.003*""rinnovabile"""
8,8,"0.404*""giorgiamelone"" + 0.019*""associationpec"" + 0.019*""gardasil"" + 0.019*""wef"" + 0.019*""essere"" + 0.019*""usare"" + 0.019*""fare"" + 0.019*""Italia"" + 0.019*""son"" + 0.019*""globalista"" + 0.019*""poizon"" + 0.019*""energia"" + 0.019*""vaccination"" + 0.019*""francia"" + 0.019*""Hpv"" + 0.019*""belpietrotweet"" + 0.019*""vaccin"" + 0.019*""Russia"" + 0.019*""papillomavirus"" + 0.019*""ivreich"" + 0.019*""energy"" + 0.019*""sustainability"" + 0.019*""europe"" + 0.019*""energytransition"" + 0.019*""matteosalvinimo"" + 0.019*""laveritaweb"" + 0.019*""madforfrea"" + 0.019*""franborgonovare"" + 0.019*""ladyonorare"" + 0.019*""rinnovabile"""
9,9,"0.553*""son"" + 0.120*""wef"" + 0.012*""gardasil"" + 0.011*""poizon"" + 0.011*""giorgiamelone"" + 0.011*""fare"" + 0.011*""belpietrotweet"" + 0.011*""matteosalvinimo"" + 0.011*""cainostory"" + 0.011*""laveritaweb"" + 0.011*""ivreich"" + 0.011*""rusembitaly"" + 0.011*""ladyonorare"" + 0.011*""madforfrea"" + 0.011*""franborgonovare"" + 0.011*""essere"" + 0.011*""vaccin"" + 0.011*""usare"" + 0.011*""associationpec"" + 0.011*""Italia"" + 0.011*""globalista"" + 0.011*""Russia"" + 0.011*""vaccination"" + 0.011*""francia"" + 0.011*""energia"" + 0.011*""Hpv"" + 0.011*""papillomavirus"" + 0.011*""rinnovabile"" + 0.011*""sustainability"" + 0.011*""energy"""
