,topic_id,words
0,0,"0.035*""vaccare"" + 0.035*""danno"" + 0.018*""Roma"" + 0.018*""riconoscere"" + 0.018*""relatore"" + 0.018*""ordinanza"" + 0.018*""nunziato"" + 0.018*""Italia"" + 0.018*""alessandro"" + 0.018*""alessandra"""
1,1,"0.025*""volta"" + 0.025*""novax"" + 0.025*""spinta"" + 0.025*""sparare"" + 0.025*""propulsivo"" + 0.025*""papilloma"" + 0.025*""ovunque"" + 0.025*""mucchio"" + 0.025*""imparare"" + 0.025*""grafena"""
2,2,"0.257*""poizon"" + 0.076*""Effetssecondaires"" + 0.076*""tèmoignage"" + 0.040*""magazinenexus"" + 0.040*""magazina"" + 0.040*""nexus"" + 0.004*""associationpec"" + 0.004*""poiöson"" + 0.004*""graphene"" + 0.004*""covid"""
3,3,"0.117*""son"" + 0.079*""francia"" + 0.041*""vaccinesideeffects"" + 0.041*""campagna"" + 0.041*""sante"" + 0.041*""transparencia"" + 0.041*""poipoiö"" + 0.041*""propaganda"" + 0.041*""poiö"" + 0.041*""poi"""
4,4,"0.069*""via"" + 0.036*""covidvaccina"" + 0.036*""vaccinedeath"" + 0.036*""flu"" + 0.036*""covidvaccination"" + 0.036*""vaccineinjury"" + 0.036*""Vaers"" + 0.036*""une"" + 0.036*""doso"" + 0.036*""revuepraticien"""
5,5,"0.059*""merck"" + 0.059*""usare"" + 0.031*""vaccare"" + 0.031*""dannidavaccino"" + 0.031*""legale"" + 0.031*""disturbo"" + 0.031*""responsabile"" + 0.031*""adesione"" + 0.031*""class"" + 0.031*""action"""
6,6,"0.051*""merck"" + 0.051*""poi"" + 0.051*""poiö"" + 0.051*""chdle"" + 0.051*""gardasilvaccina"" + 0.051*""litigation"" + 0.051*""sonson"" + 0.051*""graphene"" + 0.005*""associationpec"" + 0.005*""poizon"""
7,7,"0.400*""associationpec"" + 0.004*""alnpvlre"" + 0.004*""scandale"" + 0.004*""poizon"" + 0.004*""poiöson"" + 0.004*""graphene"" + 0.004*""tèmoignage"" + 0.004*""elle"" + 0.004*""sante"" + 0.004*""vaccinesideeffects"""
8,8,"0.187*""poiöson"" + 0.006*""poizon"" + 0.006*""associationpec"" + 0.006*""tèmoignage"" + 0.006*""graphene"" + 0.006*""nicoledelepino"" + 0.006*""merce"" + 0.006*""pfizerre"" + 0.006*""Effetssecondaires"" + 0.006*""merck"""
9,9,"0.049*""associationpec"" + 0.045*""nicoledelepino"" + 0.045*""pinsollet"" + 0.045*""caudehenrion"" + 0.045*""oudiakovavere"" + 0.045*""Cervical"" + 0.045*""and"" + 0.045*""cancer"" + 0.045*""pfizerre"" + 0.045*""covid"""
